mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_cdl_clp_endorsements_t49_part_383,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_part_383,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR Part 383",Maps 49 CFR Part 383 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_subpart_383_a,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_subpart_383_a,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR Part 383 Subpart A",Maps 49 CFR Part 383 Subpart A to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_1,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_1,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.1",Maps 49 CFR 383.1 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_3,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_3,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.3",Maps 49 CFR 383.3 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_5,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_5,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.5",Maps 49 CFR 383.5 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_7,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_7,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.7",Maps 49 CFR 383.7 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_subpart_383_b,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_subpart_383_b,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR Part 383 Subpart B",Maps 49 CFR Part 383 Subpart B to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_21,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_21,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.21",Maps 49 CFR 383.21 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_23,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_23,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.23",Maps 49 CFR 383.23 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_25,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_25,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.25",Maps 49 CFR 383.25 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_subpart_383_c,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_subpart_383_c,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR Part 383 Subpart C",Maps 49 CFR Part 383 Subpart C to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_31,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_31,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.31",Maps 49 CFR 383.31 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_33,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_33,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.33",Maps 49 CFR 383.33 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_35,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_35,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.35",Maps 49 CFR 383.35 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_37,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_37,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.37",Maps 49 CFR 383.37 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_subpart_383_d,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_subpart_383_d,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR Part 383 Subpart D",Maps 49 CFR Part 383 Subpart D to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_51,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_51,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.51",Maps 49 CFR 383.51 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_52,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_52,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.52",Maps 49 CFR 383.52 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_53,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_53,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.53",Maps 49 CFR 383.53 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_subpart_383_e,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_subpart_383_e,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR Part 383 Subpart E",Maps 49 CFR Part 383 Subpart E to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_71,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_71,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.71",Maps 49 CFR 383.71 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_72,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_72,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.72",Maps 49 CFR 383.72 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_73,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_73,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.73",Maps 49 CFR 383.73 to title49.driver.cdl_clp_endorsements (operational).,true
map_title49_driver_cdl_clp_endorsements_t49_sec_383_75,compliance_key,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,t49_sec_383_75,ck_t49_driver_cdl_clp_endorsements,,,"Title 49 CDL, CLP, and Endorsements to 49 CFR 383.75",Maps 49 CFR 383.75 to title49.driver.cdl_clp_endorsements (operational).,true
