citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_383,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Commercial Driver's License Standards; Requirements and Penalties,49 CFR Part 383,Mapping level candidate for 49 CFR Part 383. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383. Source: https://www.ecfr.gov/current/title-49/part-383,true,
t49_subpart_383_a,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,General,49 CFR Part 383 Subpart A,Mapping level candidate for 49 CFR Part 383 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-383/subpart-A,true,
t49_sec_383_1,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Purpose and scope.,49 CFR 383.1,Mapping level candidate for 49 CFR 383.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart A > 49 CFR 383.1. Source: https://www.ecfr.gov/current/title-49/section-383.1,true,
t49_sec_383_3,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Applicability.,49 CFR 383.3,Mapping level candidate for 49 CFR 383.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart A > 49 CFR 383.3. Source: https://www.ecfr.gov/current/title-49/section-383.3,true,
t49_sec_383_5,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Definitions.,49 CFR 383.5,Mapping level candidate for 49 CFR 383.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart A > 49 CFR 383.5. Source: https://www.ecfr.gov/current/title-49/section-383.5,true,
t49_sec_383_7,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Validity of CDL issued by decertified State.,49 CFR 383.7,Mapping level candidate for 49 CFR 383.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart A > 49 CFR 383.7. Source: https://www.ecfr.gov/current/title-49/section-383.7,true,
t49_subpart_383_b,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Single License Requirement,49 CFR Part 383 Subpart B,Mapping level candidate for 49 CFR Part 383 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-383/subpart-B,true,
t49_sec_383_21,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Number of drivers' licenses.,49 CFR 383.21,Mapping level candidate for 49 CFR 383.21. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart B > 49 CFR 383.21. Source: https://www.ecfr.gov/current/title-49/section-383.21,true,
t49_sec_383_23,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Commercial driver's license.,49 CFR 383.23,Mapping level candidate for 49 CFR 383.23. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart B > 49 CFR 383.23. Source: https://www.ecfr.gov/current/title-49/section-383.23,true,
t49_sec_383_25,fmcsa_fmcsr,title49.driver.cdl_clp_endorsements,1,Commercial learner's permit (CLP).,49 CFR 383.25,Mapping level candidate for 49 CFR 383.25. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 383 > 49 CFR Part 383 Subpart B > 49 CFR 383.25. Source: https://www.ecfr.gov/current/title-49/section-383.25,true,
