mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_drug_alcohol_program_t49_part_40,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_part_40,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR Part 40,Maps 49 CFR Part 40 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_subpart_40_a,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_subpart_40_a,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR Part 40 Subpart A,Maps 49 CFR Part 40 Subpart A to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_1,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_1,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.1,Maps 49 CFR 40.1 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_3,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_3,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.3,Maps 49 CFR 40.3 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_5,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_5,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.5,Maps 49 CFR 40.5 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_7,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_7,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.7,Maps 49 CFR 40.7 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_subpart_40_b,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_subpart_40_b,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR Part 40 Subpart B,Maps 49 CFR Part 40 Subpart B to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_11,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_11,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.11,Maps 49 CFR 40.11 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_13,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_13,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.13,Maps 49 CFR 40.13 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_14,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_14,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.14,Maps 49 CFR 40.14 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_15,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_15,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.15,Maps 49 CFR 40.15 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_17,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_17,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.17,Maps 49 CFR 40.17 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_19,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_19,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.19,Maps 49 CFR 40.19 to title49.driver.drug_alcohol_program (operational).,false
map_title49_driver_drug_alcohol_program_t49_sec_40_21,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_21,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.21,Maps 49 CFR 40.21 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_23,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_23,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.23,Maps 49 CFR 40.23 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_25,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_25,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.25,Maps 49 CFR 40.25 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_26,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_26,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.26,Maps 49 CFR 40.26 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_27,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_27,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.27,Maps 49 CFR 40.27 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_subpart_40_c,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_subpart_40_c,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR Part 40 Subpart C,Maps 49 CFR Part 40 Subpart C to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_31,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_31,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.31,Maps 49 CFR 40.31 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_33,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_33,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.33,Maps 49 CFR 40.33 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_35,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_35,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.35,Maps 49 CFR 40.35 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_36,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_36,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.36,Maps 49 CFR 40.36 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_subpart_40_d,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_subpart_40_d,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR Part 40 Subpart D,Maps 49 CFR Part 40 Subpart D to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_40,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_40,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.40,Maps 49 CFR 40.40 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_41,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_41,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.41,Maps 49 CFR 40.41 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_42,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_42,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.42,Maps 49 CFR 40.42 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_43,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_43,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.43,Maps 49 CFR 40.43 to title49.driver.drug_alcohol_program (operational).,true
map_title49_driver_drug_alcohol_program_t49_sec_40_44,compliance_key,dot_part40,title49.driver.drug_alcohol_program,1,t49_sec_40_44,ck_t49_driver_drug_alcohol_program,,,Title 49 Driver Drug and Alcohol Program to 49 CFR 40.44,Maps 49 CFR 40.44 to title49.driver.drug_alcohol_program (operational).,true
