mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_eld_records_t49_subpart_395_b,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_subpart_395_b,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR Part 395 Subpart B,Maps 49 CFR Part 395 Subpart B to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_20,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_20,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.20,Maps 49 CFR 395.20 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_22,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_22,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.22,Maps 49 CFR 395.22 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_24,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_24,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.24,Maps 49 CFR 395.24 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_26,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_26,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.26,Maps 49 CFR 395.26 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_28,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_28,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.28,Maps 49 CFR 395.28 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_30,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_30,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.30,Maps 49 CFR 395.30 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_32,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_32,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.32,Maps 49 CFR 395.32 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_34,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_34,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.34,Maps 49 CFR 395.34 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_36,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_36,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.36,Maps 49 CFR 395.36 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_sec_395_38,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_38,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR 395.38,Maps 49 CFR 395.38 to title49.driver.eld_records (operational).,true
map_title49_driver_eld_records_t49_app_part_395_subpart_b_a,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_app_part_395_subpart_b_a,ck_t49_driver_eld_records,,,Title 49 ELD Records to 49 CFR Appendix A to Subpart B of Part 395,Maps 49 CFR Appendix A to Subpart B of Part 395 to title49.driver.eld_records (operational).,true
map_fact_title49_driver_eld_records_t49_eld_device_registered,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_22,ck_t49_driver_eld_records,,t49_eld_device_registered,Title 49 ELD Records fact ELD registered,"Assigned ELD is registered and not known to be revoked for the operation. products=RoutArr,MaintainArr; entities=eld_device,vehicle; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_eld_records_t49_eld_records_transferable,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_24,ck_t49_driver_eld_records,,t49_eld_records_transferable,Title 49 ELD Records fact ELD records transferable,"ELD records can be displayed or transferred for inspection. products=RoutArr; entities=eld_record,driver; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_eld_records_t49_eld_malfunction_resolved,compliance_key,fmcsa_fmcsr,title49.driver.eld_records,1,t49_sec_395_34,ck_t49_driver_eld_records,,t49_eld_malfunction_resolved,Title 49 ELD Records fact ELD malfunction resolved,"Open ELD malfunctions are documented and resolved or operating under allowed process. products=RoutArr,MaintainArr; entities=eld_device,defect; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=major; automatic_failure=false; override_allowed=true.",true
