mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_entry_level_driver_training_t49_part_380,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_part_380,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR Part 380,Maps 49 CFR Part 380 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_subpart_380_a,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_subpart_380_a,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR Part 380 Subpart A,Maps 49 CFR Part 380 Subpart A to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_101,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_101,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.101,Maps 49 CFR 380.101 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_103,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_103,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.103,Maps 49 CFR 380.103 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_105,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_105,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.105,Maps 49 CFR 380.105 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_107,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_107,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.107,Maps 49 CFR 380.107 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_109,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_109,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.109,Maps 49 CFR 380.109 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_111,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_111,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.111,Maps 49 CFR 380.111 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_sec_380_113,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_sec_380_113,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR 380.113,Maps 49 CFR 380.113 to title49.driver.entry_level_driver_training (operational).,true
map_title49_driver_entry_level_driver_training_t49_subpart_380_b,compliance_key,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,t49_subpart_380_b,ck_t49_driver_entry_level_driver_training,,,Title 49 Entry-Level Driver Training to 49 CFR Part 380 Subpart B,Maps 49 CFR Part 380 Subpart B to title49.driver.entry_level_driver_training (operational).,true
