citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_380,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Special Training Requirements,49 CFR Part 380,Mapping level candidate for 49 CFR Part 380. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380. Source: https://www.ecfr.gov/current/title-49/part-380,true,
t49_subpart_380_a,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Longer Combination Vehicle (LCV) Driver-Training and Driver-Instructor Requirements-General,49 CFR Part 380 Subpart A,Mapping level candidate for 49 CFR Part 380 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-380/subpart-A,true,
t49_sec_380_101,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Purpose and scope.,49 CFR 380.101,Mapping level candidate for 49 CFR 380.101. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.101. Source: https://www.ecfr.gov/current/title-49/section-380.101,true,
t49_sec_380_103,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Applicability.,49 CFR 380.103,Mapping level candidate for 49 CFR 380.103. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.103. Source: https://www.ecfr.gov/current/title-49/section-380.103,true,
t49_sec_380_105,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Definitions.,49 CFR 380.105,Mapping level candidate for 49 CFR 380.105. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.105. Source: https://www.ecfr.gov/current/title-49/section-380.105,true,
t49_sec_380_107,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,General requirements.,49 CFR 380.107,Mapping level candidate for 49 CFR 380.107. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.107. Source: https://www.ecfr.gov/current/title-49/section-380.107,true,
t49_sec_380_109,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Driver testing.,49 CFR 380.109,Mapping level candidate for 49 CFR 380.109. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.109. Source: https://www.ecfr.gov/current/title-49/section-380.109,true,
t49_sec_380_111,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Substitute for driver training.,49 CFR 380.111,Mapping level candidate for 49 CFR 380.111. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.111. Source: https://www.ecfr.gov/current/title-49/section-380.111,true,
t49_sec_380_113,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,Employer responsibilities.,49 CFR 380.113,Mapping level candidate for 49 CFR 380.113. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart A > 49 CFR 380.113. Source: https://www.ecfr.gov/current/title-49/section-380.113,true,
t49_subpart_380_b,fmcsa_fmcsr,title49.driver.entry_level_driver_training,1,LCV Driver-Training Program,49 CFR Part 380 Subpart B,Mapping level candidate for 49 CFR Part 380 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 380 > 49 CFR Part 380 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-380/subpart-B,true,
