mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_hours_of_service_t49_subpart_395_a,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_subpart_395_a,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR Part 395 Subpart A,Maps 49 CFR Part 395 Subpart A to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_1,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_1,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.1,Maps 49 CFR 395.1 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_2,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_2,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.2,Maps 49 CFR 395.2 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_3,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_3,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.3,Maps 49 CFR 395.3 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_5,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_5,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.5,Maps 49 CFR 395.5 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_7,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_7,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.7,Maps 49 CFR 395.7 to title49.driver.hours_of_service (operational).,false
map_title49_driver_hours_of_service_t49_sec_395_8,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_8,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.8,Maps 49 CFR 395.8 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_10,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_10,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.10,Maps 49 CFR 395.10 to title49.driver.hours_of_service (operational).,false
map_title49_driver_hours_of_service_t49_sec_395_11,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_11,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.11,Maps 49 CFR 395.11 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_12,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_12,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.12,Maps 49 CFR 395.12 to title49.driver.hours_of_service (operational).,false
map_title49_driver_hours_of_service_t49_sec_395_13,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_13,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.13,Maps 49 CFR 395.13 to title49.driver.hours_of_service (operational).,true
map_title49_driver_hours_of_service_t49_sec_395_15_395_19,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_15_395_19,ck_t49_driver_hours_of_service,,,Title 49 Hours of Service to 49 CFR 395.15-395.19,Maps 49 CFR 395.15-395.19 to title49.driver.hours_of_service (operational).,false
map_fact_title49_driver_hours_of_service_t49_hos_limits_clear,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_3,ck_t49_driver_hours_of_service,,t49_hos_limits_clear,Title 49 Hours of Service fact HOS limits clear,"Available duty status facts show the driver is within applicable hours-of-service limits. products=RoutArr; entities=driver,hos_log,trip; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_hours_of_service_t49_hos_log_complete,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_8,ck_t49_driver_hours_of_service,,t49_hos_log_complete,Title 49 Hours of Service fact HOS log complete,"Record of duty status is complete for the dispatch/evaluation period. products=RoutArr; entities=driver,hos_log; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_hours_of_service_t49_hos_suppor_8f985615,compliance_key,fmcsa_fmcsr,title49.driver.hours_of_service,1,t49_sec_395_11,ck_t49_driver_hours_of_service,,t49_hos_support_docs_retained,Title 49 Hours of Service fact Supporting docs retained,"Supporting documents are available for the required retention window. products=RoutArr; entities=driver,supporting_document; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=major; automatic_failure=false; override_allowed=true.",true
