citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_395_a,fmcsa_fmcsr,title49.driver.hours_of_service,1,General,49 CFR Part 395 Subpart A,Mapping level candidate for 49 CFR Part 395 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-395/subpart-A,true,
t49_sec_395_1,fmcsa_fmcsr,title49.driver.hours_of_service,1,Scope of rules in this part.,49 CFR 395.1,Mapping level candidate for 49 CFR 395.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.1. Source: https://www.ecfr.gov/current/title-49/section-395.1,true,
t49_sec_395_2,fmcsa_fmcsr,title49.driver.hours_of_service,1,Definitions.,49 CFR 395.2,Mapping level candidate for 49 CFR 395.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.2. Source: https://www.ecfr.gov/current/title-49/section-395.2,true,
t49_sec_395_3,fmcsa_fmcsr,title49.driver.hours_of_service,1,Maximum driving time for property-carrying vehicles.,49 CFR 395.3,Mapping level candidate for 49 CFR 395.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.3. Source: https://www.ecfr.gov/current/title-49/section-395.3,true,
t49_sec_395_5,fmcsa_fmcsr,title49.driver.hours_of_service,1,Maximum driving time for passenger-carrying vehicles.,49 CFR 395.5,Mapping level candidate for 49 CFR 395.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.5. Source: https://www.ecfr.gov/current/title-49/section-395.5,true,
t49_sec_395_7,fmcsa_fmcsr,title49.driver.hours_of_service,1,Sec. 395.7 [Reserved],49 CFR 395.7,Mapping level candidate for 49 CFR 395.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.7. Source: https://www.ecfr.gov/current/title-49/section-395.7,false,
t49_sec_395_8,fmcsa_fmcsr,title49.driver.hours_of_service,1,Driver's record of duty status.,49 CFR 395.8,Mapping level candidate for 49 CFR 395.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.8. Source: https://www.ecfr.gov/current/title-49/section-395.8,true,
t49_sec_395_10,fmcsa_fmcsr,title49.driver.hours_of_service,1,Sec. 395.10 [Reserved],49 CFR 395.10,Mapping level candidate for 49 CFR 395.10. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.10. Source: https://www.ecfr.gov/current/title-49/section-395.10,false,
t49_sec_395_11,fmcsa_fmcsr,title49.driver.hours_of_service,1,Supporting documents.,49 CFR 395.11,Mapping level candidate for 49 CFR 395.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.11. Source: https://www.ecfr.gov/current/title-49/section-395.11,true,
t49_sec_395_12,fmcsa_fmcsr,title49.driver.hours_of_service,1,Sec. 395.12 [Reserved],49 CFR 395.12,Mapping level candidate for 49 CFR 395.12. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.12. Source: https://www.ecfr.gov/current/title-49/section-395.12,false,
t49_sec_395_13,fmcsa_fmcsr,title49.driver.hours_of_service,1,Drivers ordered out of service.,49 CFR 395.13,Mapping level candidate for 49 CFR 395.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.13. Source: https://www.ecfr.gov/current/title-49/section-395.13,true,
t49_sec_395_15_395_19,fmcsa_fmcsr,title49.driver.hours_of_service,1,Sec.Sec. 395.15-395.19 [Reserved],49 CFR 395.15-395.19,Mapping level candidate for 49 CFR 395.15-395.19. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 395 > 49 CFR Part 395 Subpart A > 49 CFR 395.15-395.19. Source: https://www.ecfr.gov/current/title-49/section-395.15-395.19,false,
