mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_medical_qualification_t49_subpart_390_d,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_subpart_390_d,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR Part 390 Subpart D,Maps 49 CFR Part 390 Subpart D to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_101,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_101,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.101,Maps 49 CFR 390.101 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_103,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_103,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.103,Maps 49 CFR 390.103 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_105,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_105,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.105,Maps 49 CFR 390.105 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_107,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_107,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.107,Maps 49 CFR 390.107 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_109,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_109,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.109,Maps 49 CFR 390.109 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_111,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_111,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.111,Maps 49 CFR 390.111 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_113,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_113,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.113,Maps 49 CFR 390.113 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_115,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_115,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.115,Maps 49 CFR 390.115 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_123,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_123,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.123,Maps 49 CFR 390.123 to title49.driver.medical_qualification (operational).,true
map_title49_driver_medical_qualification_t49_sec_390_125,compliance_key,fmcsa_fmcsr,title49.driver.medical_qualification,1,t49_sec_390_125,ck_t49_driver_medical_qualification,,,Title 49 Driver Medical Qualification to 49 CFR 390.125,Maps 49 CFR 390.125 to title49.driver.medical_qualification (operational).,true
