citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_390_d,fmcsa_fmcsr,title49.driver.medical_qualification,1,National Registry of Certified Medical Examiners,49 CFR Part 390 Subpart D,Mapping level candidate for 49 CFR Part 390 Subpart D. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D. Source: https://www.ecfr.gov/current/title-49/part-390/subpart-D,true,
t49_sec_390_101,fmcsa_fmcsr,title49.driver.medical_qualification,1,Scope.,49 CFR 390.101,Mapping level candidate for 49 CFR 390.101. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.101. Source: https://www.ecfr.gov/current/title-49/section-390.101,true,
t49_sec_390_103,fmcsa_fmcsr,title49.driver.medical_qualification,1,Eligibility requirements for medical examiner certification.,49 CFR 390.103,Mapping level candidate for 49 CFR 390.103. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.103. Source: https://www.ecfr.gov/current/title-49/section-390.103,true,
t49_sec_390_105,fmcsa_fmcsr,title49.driver.medical_qualification,1,Medical examiner training programs.,49 CFR 390.105,Mapping level candidate for 49 CFR 390.105. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.105. Source: https://www.ecfr.gov/current/title-49/section-390.105,true,
t49_sec_390_107,fmcsa_fmcsr,title49.driver.medical_qualification,1,Medical examiner certification testing.,49 CFR 390.107,Mapping level candidate for 49 CFR 390.107. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.107. Source: https://www.ecfr.gov/current/title-49/section-390.107,true,
t49_sec_390_109,fmcsa_fmcsr,title49.driver.medical_qualification,1,Issuance of the FMCSA medical examiner certification credential.,49 CFR 390.109,Mapping level candidate for 49 CFR 390.109. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.109. Source: https://www.ecfr.gov/current/title-49/section-390.109,true,
t49_sec_390_111,fmcsa_fmcsr,title49.driver.medical_qualification,1,Requirements for continued listing on the National Registry of Certified Medical Examiners.,49 CFR 390.111,Mapping level candidate for 49 CFR 390.111. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.111. Source: https://www.ecfr.gov/current/title-49/section-390.111,true,
t49_sec_390_113,fmcsa_fmcsr,title49.driver.medical_qualification,1,Reasons for removal from the National Registry of Certified Medical Examiners.,49 CFR 390.113,Mapping level candidate for 49 CFR 390.113. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.113. Source: https://www.ecfr.gov/current/title-49/section-390.113,true,
t49_sec_390_115,fmcsa_fmcsr,title49.driver.medical_qualification,1,Procedure for removal from the National Registry of Certified Medical Examiners.,49 CFR 390.115,Mapping level candidate for 49 CFR 390.115. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.115. Source: https://www.ecfr.gov/current/title-49/section-390.115,true,
t49_sec_390_123,fmcsa_fmcsr,title49.driver.medical_qualification,1,Medical examiner certification for qualified Department of Veterans Affairs examiners.,49 CFR 390.123,Mapping level candidate for 49 CFR 390.123. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.123. Source: https://www.ecfr.gov/current/title-49/section-390.123,true,
t49_sec_390_125,fmcsa_fmcsr,title49.driver.medical_qualification,1,Qualified VA examiner certification training.,49 CFR 390.125,Mapping level candidate for 49 CFR 390.125. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.125. Source: https://www.ecfr.gov/current/title-49/section-390.125,true,
t49_sec_390_127,fmcsa_fmcsr,title49.driver.medical_qualification,1,Qualified VA examiner certification testing.,49 CFR 390.127,Mapping level candidate for 49 CFR 390.127. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.127. Source: https://www.ecfr.gov/current/title-49/section-390.127,true,
t49_sec_390_129,fmcsa_fmcsr,title49.driver.medical_qualification,1,Issuance of the FMCSA medical examiner certification credential.,49 CFR 390.129,Mapping level candidate for 49 CFR 390.129. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.129. Source: https://www.ecfr.gov/current/title-49/section-390.129,true,
t49_sec_390_131,fmcsa_fmcsr,title49.driver.medical_qualification,1,Requirements for continued listing of a certified VA medical examiner on the National Registry of Certified Medical Examiners.,49 CFR 390.131,Mapping level candidate for 49 CFR 390.131. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.131. Source: https://www.ecfr.gov/current/title-49/section-390.131,true,
t49_sec_390_133,fmcsa_fmcsr,title49.driver.medical_qualification,1,Reasons for removal of a certified VA medical examiner from the National Registry of Certified Medical Examiners.,49 CFR 390.133,Mapping level candidate for 49 CFR 390.133. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.133. Source: https://www.ecfr.gov/current/title-49/section-390.133,true,
t49_sec_390_135,fmcsa_fmcsr,title49.driver.medical_qualification,1,Procedure for removal of a certified VA medical examiner from the National Registry of Certified Medical Examiners.,49 CFR 390.135,Mapping level candidate for 49 CFR 390.135. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart D > 49 CFR 390.135. Source: https://www.ecfr.gov/current/title-49/section-390.135,true,
t49_subpart_391_e,fmcsa_fmcsr,title49.driver.medical_qualification,1,Physical Qualifications and Examinations,49 CFR Part 391 Subpart E,Mapping level candidate for 49 CFR Part 391 Subpart E. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E. Source: https://www.ecfr.gov/current/title-49/part-391/subpart-E,true,
t49_sec_391_41,fmcsa_fmcsr,title49.driver.medical_qualification,1,Physical qualifications for drivers.,49 CFR 391.41,Mapping level candidate for 49 CFR 391.41. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.41. Source: https://www.ecfr.gov/current/title-49/section-391.41,true,
t49_sec_391_43,fmcsa_fmcsr,title49.driver.medical_qualification,1,Medical examination; certificate of physical examination.,49 CFR 391.43,Mapping level candidate for 49 CFR 391.43. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.43. Source: https://www.ecfr.gov/current/title-49/section-391.43,true,
t49_sec_391_44,fmcsa_fmcsr,title49.driver.medical_qualification,1,"Physical qualification standards for an individual who does not satisfy, with the worse eye, either the distant visual acuity...",49 CFR 391.44,Mapping level candidate for 49 CFR 391.44. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.44. Source: https://www.ecfr.gov/current/title-49/section-391.44,true,
t49_sec_391_45,fmcsa_fmcsr,title49.driver.medical_qualification,1,Persons who must be medically examined and certified.,49 CFR 391.45,Mapping level candidate for 49 CFR 391.45. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.45. Source: https://www.ecfr.gov/current/title-49/section-391.45,true,
t49_sec_391_46,fmcsa_fmcsr,title49.driver.medical_qualification,1,Physical qualification standards for an individual with diabetes mellitus treated with insulin for control.,49 CFR 391.46,Mapping level candidate for 49 CFR 391.46. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.46. Source: https://www.ecfr.gov/current/title-49/section-391.46,true,
t49_sec_391_47,fmcsa_fmcsr,title49.driver.medical_qualification,1,Resolution of conflicts of medical evaluation.,49 CFR 391.47,Mapping level candidate for 49 CFR 391.47. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.47. Source: https://www.ecfr.gov/current/title-49/section-391.47,true,
t49_sec_391_49,fmcsa_fmcsr,title49.driver.medical_qualification,1,Alternative physical qualification standards for the loss or impairment of limbs.,49 CFR 391.49,Mapping level candidate for 49 CFR 391.49. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart E > 49 CFR 391.49. Source: https://www.ecfr.gov/current/title-49/section-391.49,true,
