mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_driver_qualification_file_t49_part_391,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_part_391,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391,Maps 49 CFR Part 391 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_subpart_391_a,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_subpart_391_a,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391 Subpart A,Maps 49 CFR Part 391 Subpart A to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_1,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_1,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.1,Maps 49 CFR 391.1 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_2,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_2,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.2,Maps 49 CFR 391.2 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_subpart_391_b,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_subpart_391_b,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391 Subpart B,Maps 49 CFR Part 391 Subpart B to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_11,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_11,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.11,Maps 49 CFR 391.11 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_13,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_13,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.13,Maps 49 CFR 391.13 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_15,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_15,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.15,Maps 49 CFR 391.15 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_subpart_391_c,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_subpart_391_c,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391 Subpart C,Maps 49 CFR Part 391 Subpart C to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_21,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_21,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.21,Maps 49 CFR 391.21 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_23,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_23,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.23,Maps 49 CFR 391.23 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_25,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_25,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.25,Maps 49 CFR 391.25 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_27,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_27,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.27,Maps 49 CFR 391.27 to title49.driver.qualification_file (operational).,false
map_title49_driver_qualification_file_t49_subpart_391_d,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_subpart_391_d,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391 Subpart D,Maps 49 CFR Part 391 Subpart D to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_31,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_31,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.31,Maps 49 CFR 391.31 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_33,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_33,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.33,Maps 49 CFR 391.33 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_subpart_391_f,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_subpart_391_f,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391 Subpart F,Maps 49 CFR Part 391 Subpart F to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_51,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_51,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.51,Maps 49 CFR 391.51 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_53,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_53,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.53,Maps 49 CFR 391.53 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_55,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_55,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.55,Maps 49 CFR 391.55 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_subpart_391_g,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_subpart_391_g,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR Part 391 Subpart G,Maps 49 CFR Part 391 Subpart G to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_61,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_61,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.61,Maps 49 CFR 391.61 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_62,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_62,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.62,Maps 49 CFR 391.62 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_63,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_63,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.63,Maps 49 CFR 391.63 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_64,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_64,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.64,Maps 49 CFR 391.64 to title49.driver.qualification_file (operational).,false
map_title49_driver_qualification_file_t49_sec_391_65,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_65,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.65,Maps 49 CFR 391.65 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_67,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_67,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.67,Maps 49 CFR 391.67 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_68,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_68,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.68,Maps 49 CFR 391.68 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_69,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_69,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.69,Maps 49 CFR 391.69 to title49.driver.qualification_file (operational).,true
map_title49_driver_qualification_file_t49_sec_391_71,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_71,ck_t49_driver_qualification_file,,,Title 49 Driver Qualification File to 49 CFR 391.71,Maps 49 CFR 391.71 to title49.driver.qualification_file (operational).,false
map_fact_title49_driver_qualification_file_t49_dq_appli_7aa14ec5,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_21,ck_t49_driver_qualification_file,,t49_dq_application_present,Title 49 Driver Qualification File fact DQ application present,"Driver qualification application is present and linked to the driver file. products=StaffArr; entities=driver,qualification_file,application; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=driver_qualification_application; retention_period=life_of_employment_plus_3_years; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_qualification_file_t49_dq_mvr_i_8b3d530c,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_23,ck_t49_driver_qualification_file,,t49_dq_mvr_initial_present,Title 49 Driver Qualification File fact Initial MVR present,"Initial motor vehicle record or equivalent inquiry evidence is present. products=StaffArr; entities=driver,qualification_file,mvr; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=initial_mvr; retention_period=life_of_employment_plus_3_years; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_qualification_file_t49_dq_mvr_a_01913270,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_25,ck_t49_driver_qualification_file,,t49_dq_mvr_annual_current,Title 49 Driver Qualification File fact Annual MVR current,"Annual MVR review evidence is current. products=StaffArr; entities=driver,qualification_file,mvr; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=annual_mvr_review; retention_period=3_years_from_execution; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_qualification_file_t49_dq_medic_bb3cfaa2,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_51,ck_t49_driver_qualification_file,,t49_dq_medical_certificate_current,Title 49 Driver Qualification File fact Medical certificate current,"Medical examiner certificate or qualifying medical status is current and linked to the DQ file. products=StaffArr,RoutArr; entities=driver,qualification_file,medical_certificate; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=medical_examiner_certificate; retention_period=until_replaced_or_expired_plus_3_years; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_qualification_file_t49_dq_road_714e9be0,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_31,ck_t49_driver_qualification_file,,t49_dq_road_test_or_equivalent_present,Title 49 Driver Qualification File fact Road test or equivalent present,"Road test certificate or accepted CDL equivalent evidence is present. products=StaffArr,TrainArr; entities=driver,qualification_file,road_test; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=road_test_certificate_or_equivalent; retention_period=life_of_employment_plus_3_years; failure_severity=major; automatic_failure=false; override_allowed=true.",true
map_fact_title49_driver_qualification_file_t49_dq_prior_6f2523d3,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_23,ck_t49_driver_qualification_file,,t49_dq_prior_employer_inquiry_complete,Title 49 Driver Qualification File fact Prior employer inquiry complete,"Prior employer safety performance investigation or equivalent inquiry is complete. products=StaffArr; entities=driver,qualification_file,prior_employer_inquiry; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=prior_employer_inquiry; retention_period=life_of_employment_plus_3_years; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_driver_qualification_file_t49_dq_annua_aafab694,compliance_key,fmcsa_fmcsr,title49.driver.qualification_file,1,t49_sec_391_25,ck_t49_driver_qualification_file,,t49_dq_annual_violation_review_complete,Title 49 Driver Qualification File fact Annual violation review complete,"Annual driver violation list/certification and review evidence is complete. products=StaffArr; entities=driver,qualification_file,annual_violation_review; value_type=boolean; operator=equals; expected_value=true; evidence_kind=document_record; required_document_type=annual_violation_review; retention_period=3_years_from_execution; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
