citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_391,fmcsa_fmcsr,title49.driver.qualification_file,1,Qualifications of Drivers and Longer Combination Vehicle (LCV) Driver Instructors,49 CFR Part 391,Mapping level candidate for 49 CFR Part 391. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391. Source: https://www.ecfr.gov/current/title-49/part-391,true,
t49_subpart_391_a,fmcsa_fmcsr,title49.driver.qualification_file,1,General,49 CFR Part 391 Subpart A,Mapping level candidate for 49 CFR Part 391 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-391/subpart-A,true,
t49_sec_391_1,fmcsa_fmcsr,title49.driver.qualification_file,1,Scope of the rules in this part; additional qualifications; duties of carrier-drivers.,49 CFR 391.1,Mapping level candidate for 49 CFR 391.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart A > 49 CFR 391.1. Source: https://www.ecfr.gov/current/title-49/section-391.1,true,
t49_sec_391_2,fmcsa_fmcsr,title49.driver.qualification_file,1,General exceptions.,49 CFR 391.2,Mapping level candidate for 49 CFR 391.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart A > 49 CFR 391.2. Source: https://www.ecfr.gov/current/title-49/section-391.2,true,
t49_subpart_391_b,fmcsa_fmcsr,title49.driver.qualification_file,1,Qualification and Disqualification of Drivers,49 CFR Part 391 Subpart B,Mapping level candidate for 49 CFR Part 391 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-391/subpart-B,true,
t49_sec_391_11,fmcsa_fmcsr,title49.driver.qualification_file,1,General qualifications of drivers.,49 CFR 391.11,Mapping level candidate for 49 CFR 391.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart B > 49 CFR 391.11. Source: https://www.ecfr.gov/current/title-49/section-391.11,true,
t49_sec_391_13,fmcsa_fmcsr,title49.driver.qualification_file,1,Responsibilities of drivers.,49 CFR 391.13,Mapping level candidate for 49 CFR 391.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart B > 49 CFR 391.13. Source: https://www.ecfr.gov/current/title-49/section-391.13,true,
t49_sec_391_15,fmcsa_fmcsr,title49.driver.qualification_file,1,Disqualification of drivers.,49 CFR 391.15,Mapping level candidate for 49 CFR 391.15. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart B > 49 CFR 391.15. Source: https://www.ecfr.gov/current/title-49/section-391.15,true,
t49_subpart_391_c,fmcsa_fmcsr,title49.driver.qualification_file,1,Background and Character,49 CFR Part 391 Subpart C,Mapping level candidate for 49 CFR Part 391 Subpart C. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-391/subpart-C,true,
t49_sec_391_21,fmcsa_fmcsr,title49.driver.qualification_file,1,Application for employment.,49 CFR 391.21,Mapping level candidate for 49 CFR 391.21. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 391 > 49 CFR Part 391 Subpart C > 49 CFR 391.21. Source: https://www.ecfr.gov/current/title-49/section-391.21,true,
