mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_applicability_t49_subpart_171_a,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_subpart_171_a,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR Part 171 Subpart A,Maps 49 CFR Part 171 Subpart A to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_1,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_1,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.1,Maps 49 CFR 171.1 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_2,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_2,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.2,Maps 49 CFR 171.2 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_3,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_3,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.3,Maps 49 CFR 171.3 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_4,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_4,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.4,Maps 49 CFR 171.4 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_6,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_6,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.6,Maps 49 CFR 171.6 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_7,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_7,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.7,Maps 49 CFR 171.7 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_8,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_8,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.8,Maps 49 CFR 171.8 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_9,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_9,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.9,Maps 49 CFR 171.9 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_10,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_10,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.10,Maps 49 CFR 171.10 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_11,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_11,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.11,Maps 49 CFR 171.11 to title49.hazmat.applicability (operational).,false
map_title49_hazmat_applicability_t49_sec_171_12,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_12,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.12,Maps 49 CFR 171.12 to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_12a,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_12a,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.12a,Maps 49 CFR 171.12a to title49.hazmat.applicability (operational).,false
map_title49_hazmat_applicability_t49_sec_171_14,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_14,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.14,Maps 49 CFR 171.14 to title49.hazmat.applicability (operational).,false
map_title49_hazmat_applicability_t49_subpart_171_c,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_subpart_171_c,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR Part 171 Subpart C,Maps 49 CFR Part 171 Subpart C to title49.hazmat.applicability (operational).,true
map_title49_hazmat_applicability_t49_sec_171_22,compliance_key,phmsa_hmr,title49.hazmat.applicability,1,t49_sec_171_22,ck_t49_hazmat_applicability,,,Title 49 Hazmat Applicability to 49 CFR 171.22,Maps 49 CFR 171.22 to title49.hazmat.applicability (operational).,true
