citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_171_a,phmsa_hmr,title49.hazmat.applicability,1,"Applicability, General Requirements, and North American Shipments",49 CFR Part 171 Subpart A,Mapping level candidate for 49 CFR Part 171 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-171/subpart-A,true,
t49_sec_171_1,phmsa_hmr,title49.hazmat.applicability,1,Applicability of Hazardous Materials Regulations (HMR) to persons and functions.,49 CFR 171.1,Mapping level candidate for 49 CFR 171.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.1. Source: https://www.ecfr.gov/current/title-49/section-171.1,true,
t49_sec_171_2,phmsa_hmr,title49.hazmat.applicability,1,General requirements.,49 CFR 171.2,Mapping level candidate for 49 CFR 171.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.2. Source: https://www.ecfr.gov/current/title-49/section-171.2,true,
t49_sec_171_3,phmsa_hmr,title49.hazmat.applicability,1,Hazardous waste.,49 CFR 171.3,Mapping level candidate for 49 CFR 171.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.3. Source: https://www.ecfr.gov/current/title-49/section-171.3,true,
t49_sec_171_4,phmsa_hmr,title49.hazmat.applicability,1,Marine pollutants.,49 CFR 171.4,Mapping level candidate for 49 CFR 171.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.4. Source: https://www.ecfr.gov/current/title-49/section-171.4,true,
t49_sec_171_6,phmsa_hmr,title49.hazmat.applicability,1,Control numbers under the Paperwork Reduction Act.,49 CFR 171.6,Mapping level candidate for 49 CFR 171.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.6. Source: https://www.ecfr.gov/current/title-49/section-171.6,true,
t49_sec_171_7,phmsa_hmr,title49.hazmat.applicability,1,Reference material.,49 CFR 171.7,Mapping level candidate for 49 CFR 171.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.7. Source: https://www.ecfr.gov/current/title-49/section-171.7,true,
t49_sec_171_8,phmsa_hmr,title49.hazmat.applicability,1,Definitions and abbreviations.,49 CFR 171.8,Mapping level candidate for 49 CFR 171.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.8. Source: https://www.ecfr.gov/current/title-49/section-171.8,true,
t49_sec_171_9,phmsa_hmr,title49.hazmat.applicability,1,Rules of construction.,49 CFR 171.9,Mapping level candidate for 49 CFR 171.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.9. Source: https://www.ecfr.gov/current/title-49/section-171.9,true,
t49_sec_171_10,phmsa_hmr,title49.hazmat.applicability,1,Units of measure.,49 CFR 171.10,Mapping level candidate for 49 CFR 171.10. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.10. Source: https://www.ecfr.gov/current/title-49/section-171.10,true,
t49_sec_171_11,phmsa_hmr,title49.hazmat.applicability,1,Sec. 171.11 [Reserved],49 CFR 171.11,Mapping level candidate for 49 CFR 171.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.11. Source: https://www.ecfr.gov/current/title-49/section-171.11,false,
t49_sec_171_12,phmsa_hmr,title49.hazmat.applicability,1,North American Shipments.,49 CFR 171.12,Mapping level candidate for 49 CFR 171.12. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.12. Source: https://www.ecfr.gov/current/title-49/section-171.12,true,
t49_sec_171_12a,phmsa_hmr,title49.hazmat.applicability,1,Sec. 171.12a [Reserved],49 CFR 171.12a,Mapping level candidate for 49 CFR 171.12a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.12a. Source: https://www.ecfr.gov/current/title-49/section-171.12a,false,
t49_sec_171_14,phmsa_hmr,title49.hazmat.applicability,1,Sec. 171.14 [Reserved],49 CFR 171.14,Mapping level candidate for 49 CFR 171.14. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart A > 49 CFR 171.14. Source: https://www.ecfr.gov/current/title-49/section-171.14,false,
t49_subpart_171_c,phmsa_hmr,title49.hazmat.applicability,1,Authorization and Requirements for the Use of International Transport Standards and Regulations,49 CFR Part 171 Subpart C,Mapping level candidate for 49 CFR Part 171 Subpart C. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-171/subpart-C,true,
t49_sec_171_22,phmsa_hmr,title49.hazmat.applicability,1,Authorization and conditions for the use of international standards and regulations.,49 CFR 171.22,Mapping level candidate for 49 CFR 171.22. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart C > 49 CFR 171.22. Source: https://www.ecfr.gov/current/title-49/section-171.22,true,
t49_sec_171_23,phmsa_hmr,title49.hazmat.applicability,1,"Requirements for specific materials and packagings transported under the ICAO Technical Instructions, IMDG Code, Transport Ca...",49 CFR 171.23,Mapping level candidate for 49 CFR 171.23. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart C > 49 CFR 171.23. Source: https://www.ecfr.gov/current/title-49/section-171.23,true,
t49_sec_171_24,phmsa_hmr,title49.hazmat.applicability,1,Additional requirements for the use of the ICAO Technical Instructions.,49 CFR 171.24,Mapping level candidate for 49 CFR 171.24. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart C > 49 CFR 171.24. Source: https://www.ecfr.gov/current/title-49/section-171.24,true,
t49_sec_171_25,phmsa_hmr,title49.hazmat.applicability,1,Additional requirements for the use of the IMDG Code.,49 CFR 171.25,Mapping level candidate for 49 CFR 171.25. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart C > 49 CFR 171.25. Source: https://www.ecfr.gov/current/title-49/section-171.25,true,
t49_sec_171_26,phmsa_hmr,title49.hazmat.applicability,1,Additional requirements for the use of the IAEA Regulations.,49 CFR 171.26,Mapping level candidate for 49 CFR 171.26. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 171 > 49 CFR Part 171 Subpart C > 49 CFR 171.26. Source: https://www.ecfr.gov/current/title-49/section-171.26,true,
