mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_classification_t49_subpart_173_a,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_subpart_173_a,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR Part 173 Subpart A,Maps 49 CFR Part 173 Subpart A to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_1,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_1,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.1,Maps 49 CFR 173.1 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_2,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_2,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.2,Maps 49 CFR 173.2 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_2a,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_2a,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.2a,Maps 49 CFR 173.2a to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_3,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_3,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.3,Maps 49 CFR 173.3 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_4,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_4,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.4,Maps 49 CFR 173.4 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_4a,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_4a,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.4a,Maps 49 CFR 173.4a to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_4b,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_4b,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.4b,Maps 49 CFR 173.4b to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_5,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_5,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.5,Maps 49 CFR 173.5 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_5a,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_5a,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.5a,Maps 49 CFR 173.5a to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_5b,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_5b,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.5b,Maps 49 CFR 173.5b to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_6,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_6,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.6,Maps 49 CFR 173.6 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_7,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_7,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.7,Maps 49 CFR 173.7 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_8,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_8,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.8,Maps 49 CFR 173.8 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_9,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_9,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.9,Maps 49 CFR 173.9 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_10,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_10,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.10,Maps 49 CFR 173.10 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_11,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_11,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.11,Maps 49 CFR 173.11 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_12,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_12,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.12,Maps 49 CFR 173.12 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_13,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_13,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.13,Maps 49 CFR 173.13 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_14,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_14,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.14,Maps 49 CFR 173.14 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_subpart_173_c,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_subpart_173_c,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR Part 173 Subpart C,Maps 49 CFR Part 173 Subpart C to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_50,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_50,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.50,Maps 49 CFR 173.50 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_51,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_51,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.51,Maps 49 CFR 173.51 to title49.hazmat.classification (operational).,true
map_title49_hazmat_classification_t49_sec_173_52,compliance_key,phmsa_hmr,title49.hazmat.classification,1,t49_sec_173_52,ck_t49_hazmat_classification,,,Title 49 Hazmat Classification to 49 CFR 173.52,Maps 49 CFR 173.52 to title49.hazmat.classification (operational).,true
