citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_173_a,phmsa_hmr,title49.hazmat.classification,1,General,49 CFR Part 173 Subpart A,Mapping level candidate for 49 CFR Part 173 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-173/subpart-A,true,
t49_sec_173_1,phmsa_hmr,title49.hazmat.classification,1,Purpose and scope.,49 CFR 173.1,Mapping level candidate for 49 CFR 173.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.1. Source: https://www.ecfr.gov/current/title-49/section-173.1,true,
t49_sec_173_2,phmsa_hmr,title49.hazmat.classification,1,Hazardous material classes and index to hazard class definitions.,49 CFR 173.2,Mapping level candidate for 49 CFR 173.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.2. Source: https://www.ecfr.gov/current/title-49/section-173.2,true,
t49_sec_173_2a,phmsa_hmr,title49.hazmat.classification,1,Classification of a material having more than one hazard.,49 CFR 173.2a,Mapping level candidate for 49 CFR 173.2a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.2a. Source: https://www.ecfr.gov/current/title-49/section-173.2a,true,
t49_sec_173_3,phmsa_hmr,title49.hazmat.classification,1,Packaging and exceptions.,49 CFR 173.3,Mapping level candidate for 49 CFR 173.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.3. Source: https://www.ecfr.gov/current/title-49/section-173.3,true,
t49_sec_173_4,phmsa_hmr,title49.hazmat.classification,1,Small quantities for highway and rail.,49 CFR 173.4,Mapping level candidate for 49 CFR 173.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.4. Source: https://www.ecfr.gov/current/title-49/section-173.4,true,
t49_sec_173_4a,phmsa_hmr,title49.hazmat.classification,1,Excepted quantities.,49 CFR 173.4a,Mapping level candidate for 49 CFR 173.4a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.4a. Source: https://www.ecfr.gov/current/title-49/section-173.4a,true,
t49_sec_173_4b,phmsa_hmr,title49.hazmat.classification,1,De minimis exceptions.,49 CFR 173.4b,Mapping level candidate for 49 CFR 173.4b. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.4b. Source: https://www.ecfr.gov/current/title-49/section-173.4b,true,
t49_sec_173_5,phmsa_hmr,title49.hazmat.classification,1,Agricultural operations.,49 CFR 173.5,Mapping level candidate for 49 CFR 173.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.5. Source: https://www.ecfr.gov/current/title-49/section-173.5,true,
t49_sec_173_5a,phmsa_hmr,title49.hazmat.classification,1,"Oilfield service vehicles, mechanical displacement meter provers, and roadway striping vehicles exceptions.",49 CFR 173.5a,Mapping level candidate for 49 CFR 173.5a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.5a. Source: https://www.ecfr.gov/current/title-49/section-173.5a,true,
t49_sec_173_5b,phmsa_hmr,title49.hazmat.classification,1,Portable and mobile refrigeration systems.,49 CFR 173.5b,Mapping level candidate for 49 CFR 173.5b. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart A > 49 CFR 173.5b. Source: https://www.ecfr.gov/current/title-49/section-173.5b,true,
