mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_labeling_t49_subpart_172_e,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_subpart_172_e,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR Part 172 Subpart E,Maps 49 CFR Part 172 Subpart E to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_400,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_400,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.400,Maps 49 CFR 172.400 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_400a,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_400a,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.400a,Maps 49 CFR 172.400a to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_401,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_401,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.401,Maps 49 CFR 172.401 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_402,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_402,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.402,Maps 49 CFR 172.402 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_403,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_403,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.403,Maps 49 CFR 172.403 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_404,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_404,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.404,Maps 49 CFR 172.404 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_405,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_405,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.405,Maps 49 CFR 172.405 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_406,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_406,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.406,Maps 49 CFR 172.406 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_407,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_407,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.407,Maps 49 CFR 172.407 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_411,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_411,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.411,Maps 49 CFR 172.411 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_415,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_415,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.415,Maps 49 CFR 172.415 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_416,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_416,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.416,Maps 49 CFR 172.416 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_417,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_417,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.417,Maps 49 CFR 172.417 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_419,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_419,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.419,Maps 49 CFR 172.419 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_420,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_420,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.420,Maps 49 CFR 172.420 to title49.hazmat.labeling (operational).,true
map_title49_hazmat_labeling_t49_sec_172_422,compliance_key,phmsa_hmr,title49.hazmat.labeling,1,t49_sec_172_422,ck_t49_hazmat_labeling,,,Title 49 Hazmat Labeling to 49 CFR 172.422,Maps 49 CFR 172.422 to title49.hazmat.labeling (operational).,true
