citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_172_e,phmsa_hmr,title49.hazmat.labeling,1,Labeling,49 CFR Part 172 Subpart E,Mapping level candidate for 49 CFR Part 172 Subpart E. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E. Source: https://www.ecfr.gov/current/title-49/part-172/subpart-E,true,
t49_sec_172_400,phmsa_hmr,title49.hazmat.labeling,1,General labeling requirements.,49 CFR 172.400,Mapping level candidate for 49 CFR 172.400. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.400. Source: https://www.ecfr.gov/current/title-49/section-172.400,true,
t49_sec_172_400a,phmsa_hmr,title49.hazmat.labeling,1,Exceptions from labeling.,49 CFR 172.400a,Mapping level candidate for 49 CFR 172.400a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.400a. Source: https://www.ecfr.gov/current/title-49/section-172.400a,true,
t49_sec_172_401,phmsa_hmr,title49.hazmat.labeling,1,Prohibited labeling.,49 CFR 172.401,Mapping level candidate for 49 CFR 172.401. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.401. Source: https://www.ecfr.gov/current/title-49/section-172.401,true,
t49_sec_172_402,phmsa_hmr,title49.hazmat.labeling,1,Additional labeling requirements.,49 CFR 172.402,Mapping level candidate for 49 CFR 172.402. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.402. Source: https://www.ecfr.gov/current/title-49/section-172.402,true,
t49_sec_172_403,phmsa_hmr,title49.hazmat.labeling,1,Class 7 (radioactive) material.,49 CFR 172.403,Mapping level candidate for 49 CFR 172.403. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.403. Source: https://www.ecfr.gov/current/title-49/section-172.403,true,
t49_sec_172_404,phmsa_hmr,title49.hazmat.labeling,1,Labels for mixed and consolidated packaging.,49 CFR 172.404,Mapping level candidate for 49 CFR 172.404. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.404. Source: https://www.ecfr.gov/current/title-49/section-172.404,true,
t49_sec_172_405,phmsa_hmr,title49.hazmat.labeling,1,Authorized label modifications.,49 CFR 172.405,Mapping level candidate for 49 CFR 172.405. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.405. Source: https://www.ecfr.gov/current/title-49/section-172.405,true,
t49_sec_172_406,phmsa_hmr,title49.hazmat.labeling,1,Placement of labels.,49 CFR 172.406,Mapping level candidate for 49 CFR 172.406. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.406. Source: https://www.ecfr.gov/current/title-49/section-172.406,true,
t49_sec_172_407,phmsa_hmr,title49.hazmat.labeling,1,Label specifications.,49 CFR 172.407,Mapping level candidate for 49 CFR 172.407. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.407. Source: https://www.ecfr.gov/current/title-49/section-172.407,true,
t49_sec_172_411,phmsa_hmr,title49.hazmat.labeling,1,"EXPLOSIVE 1.1, 1.2, 1.3, 1.4, 1.5 and 1.6 labels, and EXPLOSIVE Subsidiary label.",49 CFR 172.411,Mapping level candidate for 49 CFR 172.411. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.411. Source: https://www.ecfr.gov/current/title-49/section-172.411,true,
t49_sec_172_415,phmsa_hmr,title49.hazmat.labeling,1,NON-FLAMMABLE GAS label.,49 CFR 172.415,Mapping level candidate for 49 CFR 172.415. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.415. Source: https://www.ecfr.gov/current/title-49/section-172.415,true,
t49_sec_172_416,phmsa_hmr,title49.hazmat.labeling,1,POISON GAS label.,49 CFR 172.416,Mapping level candidate for 49 CFR 172.416. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.416. Source: https://www.ecfr.gov/current/title-49/section-172.416,true,
t49_sec_172_417,phmsa_hmr,title49.hazmat.labeling,1,FLAMMABLE GAS label.,49 CFR 172.417,Mapping level candidate for 49 CFR 172.417. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.417. Source: https://www.ecfr.gov/current/title-49/section-172.417,true,
t49_sec_172_419,phmsa_hmr,title49.hazmat.labeling,1,FLAMMABLE LIQUID label.,49 CFR 172.419,Mapping level candidate for 49 CFR 172.419. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.419. Source: https://www.ecfr.gov/current/title-49/section-172.419,true,
t49_sec_172_420,phmsa_hmr,title49.hazmat.labeling,1,FLAMMABLE SOLID label.,49 CFR 172.420,Mapping level candidate for 49 CFR 172.420. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.420. Source: https://www.ecfr.gov/current/title-49/section-172.420,true,
t49_sec_172_422,phmsa_hmr,title49.hazmat.labeling,1,SPONTANEOUSLY COMBUSTIBLE label.,49 CFR 172.422,Mapping level candidate for 49 CFR 172.422. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.422. Source: https://www.ecfr.gov/current/title-49/section-172.422,true,
t49_sec_172_423,phmsa_hmr,title49.hazmat.labeling,1,DANGEROUS WHEN WET label.,49 CFR 172.423,Mapping level candidate for 49 CFR 172.423. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.423. Source: https://www.ecfr.gov/current/title-49/section-172.423,true,
t49_sec_172_426,phmsa_hmr,title49.hazmat.labeling,1,OXIDIZER label.,49 CFR 172.426,Mapping level candidate for 49 CFR 172.426. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.426. Source: https://www.ecfr.gov/current/title-49/section-172.426,true,
t49_sec_172_427,phmsa_hmr,title49.hazmat.labeling,1,ORGANIC PEROXIDE label.,49 CFR 172.427,Mapping level candidate for 49 CFR 172.427. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.427. Source: https://www.ecfr.gov/current/title-49/section-172.427,true,
t49_sec_172_429,phmsa_hmr,title49.hazmat.labeling,1,POISON INHALATION HAZARD label.,49 CFR 172.429,Mapping level candidate for 49 CFR 172.429. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.429. Source: https://www.ecfr.gov/current/title-49/section-172.429,true,
t49_sec_172_430,phmsa_hmr,title49.hazmat.labeling,1,POISON label.,49 CFR 172.430,Mapping level candidate for 49 CFR 172.430. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.430. Source: https://www.ecfr.gov/current/title-49/section-172.430,true,
t49_sec_172_431,phmsa_hmr,title49.hazmat.labeling,1,Sec. 172.431 [Reserved],49 CFR 172.431,Mapping level candidate for 49 CFR 172.431. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.431. Source: https://www.ecfr.gov/current/title-49/section-172.431,false,
t49_sec_172_432,phmsa_hmr,title49.hazmat.labeling,1,INFECTIOUS SUBSTANCE label.,49 CFR 172.432,Mapping level candidate for 49 CFR 172.432. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.432. Source: https://www.ecfr.gov/current/title-49/section-172.432,true,
t49_sec_172_436,phmsa_hmr,title49.hazmat.labeling,1,RADIOACTIVE WHITE-I label.,49 CFR 172.436,Mapping level candidate for 49 CFR 172.436. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.436. Source: https://www.ecfr.gov/current/title-49/section-172.436,true,
t49_sec_172_438,phmsa_hmr,title49.hazmat.labeling,1,RADIOACTIVE YELLOW-II label.,49 CFR 172.438,Mapping level candidate for 49 CFR 172.438. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.438. Source: https://www.ecfr.gov/current/title-49/section-172.438,true,
t49_sec_172_440,phmsa_hmr,title49.hazmat.labeling,1,RADIOACTIVE YELLOW-III label.,49 CFR 172.440,Mapping level candidate for 49 CFR 172.440. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.440. Source: https://www.ecfr.gov/current/title-49/section-172.440,true,
t49_sec_172_441,phmsa_hmr,title49.hazmat.labeling,1,FISSILE label.,49 CFR 172.441,Mapping level candidate for 49 CFR 172.441. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.441. Source: https://www.ecfr.gov/current/title-49/section-172.441,true,
t49_sec_172_442,phmsa_hmr,title49.hazmat.labeling,1,CORROSIVE label.,49 CFR 172.442,Mapping level candidate for 49 CFR 172.442. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.442. Source: https://www.ecfr.gov/current/title-49/section-172.442,true,
t49_sec_172_444,phmsa_hmr,title49.hazmat.labeling,1,Sec. 172.444 [Reserved],49 CFR 172.444,Mapping level candidate for 49 CFR 172.444. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.444. Source: https://www.ecfr.gov/current/title-49/section-172.444,false,
t49_sec_172_446,phmsa_hmr,title49.hazmat.labeling,1,CLASS 9 label.,49 CFR 172.446,Mapping level candidate for 49 CFR 172.446. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.446. Source: https://www.ecfr.gov/current/title-49/section-172.446,true,
t49_sec_172_447,phmsa_hmr,title49.hazmat.labeling,1,LITHIUM BATTERY label.,49 CFR 172.447,Mapping level candidate for 49 CFR 172.447. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.447. Source: https://www.ecfr.gov/current/title-49/section-172.447,true,
t49_sec_172_448,phmsa_hmr,title49.hazmat.labeling,1,CARGO AIRCRAFT ONLY label.,49 CFR 172.448,Mapping level candidate for 49 CFR 172.448. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.448. Source: https://www.ecfr.gov/current/title-49/section-172.448,true,
t49_sec_172_450,phmsa_hmr,title49.hazmat.labeling,1,EMPTY label.,49 CFR 172.450,Mapping level candidate for 49 CFR 172.450. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart E > 49 CFR 172.450. Source: https://www.ecfr.gov/current/title-49/section-172.450,true,
