mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_loading_unloading_segregation_t49_part_177,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_part_177,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR Part 177",Maps 49 CFR Part 177 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_su_1354ed22,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_subpart_177_a,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR Part 177 Subpart A",Maps 49 CFR Part 177 Subpart A to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_800,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_800,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.800",Maps 49 CFR 177.800 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_801,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_801,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.801",Maps 49 CFR 177.801 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_802,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_802,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.802",Maps 49 CFR 177.802 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_804,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_804,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.804",Maps 49 CFR 177.804 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_810,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_810,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.810",Maps 49 CFR 177.810 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_816,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_816,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.816",Maps 49 CFR 177.816 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_817,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_817,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.817",Maps 49 CFR 177.817 to title49.hazmat.loading_unloading_segregation (operational).,true
map_title49_hazmat_loading_unloading_segregation_t49_sec_177_823,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,t49_sec_177_823,ck_t49_hazmat_loading_unloading_segregation,,,"Title 49 Hazmat Loading, Unloading, and Segregation to 49 CFR 177.823",Maps 49 CFR 177.823 to title49.hazmat.loading_unloading_segregation (operational).,true
