citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_177,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Carriage by Public Highway,49 CFR Part 177,Mapping level candidate for 49 CFR Part 177. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177. Source: https://www.ecfr.gov/current/title-49/part-177,true,
t49_subpart_177_a,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,General Information and Regulations,49 CFR Part 177 Subpart A,Mapping level candidate for 49 CFR Part 177 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-177/subpart-A,true,
t49_sec_177_800,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Purpose and scope of this part and responsibility for compliance and training.,49 CFR 177.800,Mapping level candidate for 49 CFR 177.800. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.800. Source: https://www.ecfr.gov/current/title-49/section-177.800,true,
t49_sec_177_801,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Unacceptable hazardous materials shipments.,49 CFR 177.801,Mapping level candidate for 49 CFR 177.801. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.801. Source: https://www.ecfr.gov/current/title-49/section-177.801,true,
t49_sec_177_802,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Inspection.,49 CFR 177.802,Mapping level candidate for 49 CFR 177.802. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.802. Source: https://www.ecfr.gov/current/title-49/section-177.802,true,
t49_sec_177_804,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Compliance with Federal Motor Carrier Safety Regulations.,49 CFR 177.804,Mapping level candidate for 49 CFR 177.804. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.804. Source: https://www.ecfr.gov/current/title-49/section-177.804,true,
t49_sec_177_810,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Vehicular tunnels.,49 CFR 177.810,Mapping level candidate for 49 CFR 177.810. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.810. Source: https://www.ecfr.gov/current/title-49/section-177.810,true,
t49_sec_177_816,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Driver training.,49 CFR 177.816,Mapping level candidate for 49 CFR 177.816. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.816. Source: https://www.ecfr.gov/current/title-49/section-177.816,true,
t49_sec_177_817,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Shipping papers.,49 CFR 177.817,Mapping level candidate for 49 CFR 177.817. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.817. Source: https://www.ecfr.gov/current/title-49/section-177.817,true,
t49_sec_177_823,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Movement of motor vehicles in emergency situations.,49 CFR 177.823,Mapping level candidate for 49 CFR 177.823. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart A > 49 CFR 177.823. Source: https://www.ecfr.gov/current/title-49/section-177.823,true,
t49_subpart_177_b,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Loading and Unloading,49 CFR Part 177 Subpart B,Mapping level candidate for 49 CFR Part 177 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-177/subpart-B,true,
t49_sec_177_834,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,General requirements.,49 CFR 177.834,Mapping level candidate for 49 CFR 177.834. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.834. Source: https://www.ecfr.gov/current/title-49/section-177.834,true,
t49_sec_177_835,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Class 1 (explosive) materials.,49 CFR 177.835,Mapping level candidate for 49 CFR 177.835. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.835. Source: https://www.ecfr.gov/current/title-49/section-177.835,true,
t49_sec_177_837,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Class 3 (flammable liquid) materials.,49 CFR 177.837,Mapping level candidate for 49 CFR 177.837. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.837. Source: https://www.ecfr.gov/current/title-49/section-177.837,true,
t49_sec_177_838,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,"Class 4 (flammable solid) materials, Class 5 (oxidizing) materials, and Division 4.2 (self-heating and pyrophoric liquid) mat...",49 CFR 177.838,Mapping level candidate for 49 CFR 177.838. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.838. Source: https://www.ecfr.gov/current/title-49/section-177.838,true,
t49_sec_177_839,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Class 8 (corrosive) materials.,49 CFR 177.839,Mapping level candidate for 49 CFR 177.839. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.839. Source: https://www.ecfr.gov/current/title-49/section-177.839,true,
t49_sec_177_840,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Class 2 (gases) materials.,49 CFR 177.840,Mapping level candidate for 49 CFR 177.840. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.840. Source: https://www.ecfr.gov/current/title-49/section-177.840,true,
t49_sec_177_841,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Division 6.1 (poisonous) materials and Division 2.3 (poisonous gas) materials.,49 CFR 177.841,Mapping level candidate for 49 CFR 177.841. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.841. Source: https://www.ecfr.gov/current/title-49/section-177.841,true,
t49_sec_177_842,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Class 7 (radioactive) material.,49 CFR 177.842,Mapping level candidate for 49 CFR 177.842. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.842. Source: https://www.ecfr.gov/current/title-49/section-177.842,true,
t49_sec_177_843,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Contamination of vehicles.,49 CFR 177.843,Mapping level candidate for 49 CFR 177.843. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart B > 49 CFR 177.843. Source: https://www.ecfr.gov/current/title-49/section-177.843,true,
t49_subpart_177_c,phmsa_hmr,title49.hazmat.loading_unloading_segregation,1,Segregation and Separation Chart of Hazardous Materials,49 CFR Part 177 Subpart C,Mapping level candidate for 49 CFR Part 177 Subpart C. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 177 > 49 CFR Part 177 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-177/subpart-C,true,
