mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_loading_unloading_segregation_refere_46544ca4,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_part_174,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR Part 174,Maps 49 CFR Part 174 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_c1a9e26a,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_subpart_174_a,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR Part 174 Subpart A,Maps 49 CFR Part 174 Subpart A to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_cdb4e921,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_1,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.1,Maps 49 CFR 174.1 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_5650de5a,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_2,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.2,Maps 49 CFR 174.2 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_4b641882,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_3,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.3,Maps 49 CFR 174.3 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_a31a0619,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_5,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.5,Maps 49 CFR 174.5 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_a79526fd,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_9,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.9,Maps 49 CFR 174.9 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_5785c14a,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_14,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.14,Maps 49 CFR 174.14 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_f089c0b5,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_16,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.16,Maps 49 CFR 174.16 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
map_title49_hazmat_loading_unloading_segregation_refere_8bd053ae,compliance_key,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,t49_sec_174_20,ck_t49_hazmat_loading_unloading_segregation_reference,,,Title 49 Hazmat Rail Air Vessel Reference to 49 CFR 174.20,Maps 49 CFR 174.20 to title49.hazmat.loading_unloading_segregation_reference (reference).,true
