citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_174,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Carriage by Rail,49 CFR Part 174,Mapping level candidate for 49 CFR Part 174. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174. Source: https://www.ecfr.gov/current/title-49/part-174,true,
t49_subpart_174_a,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,General Requirements,49 CFR Part 174 Subpart A,Mapping level candidate for 49 CFR Part 174 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-174/subpart-A,true,
t49_sec_174_1,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Purpose and scope.,49 CFR 174.1,Mapping level candidate for 49 CFR 174.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.1. Source: https://www.ecfr.gov/current/title-49/section-174.1,true,
t49_sec_174_2,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,"Limitation on actions by states, local governments, and Indian tribes.",49 CFR 174.2,Mapping level candidate for 49 CFR 174.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.2. Source: https://www.ecfr.gov/current/title-49/section-174.2,true,
t49_sec_174_3,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Unacceptable hazardous materials shipments.,49 CFR 174.3,Mapping level candidate for 49 CFR 174.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.3. Source: https://www.ecfr.gov/current/title-49/section-174.3,true,
t49_sec_174_5,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Carrier's materials and supplies.,49 CFR 174.5,Mapping level candidate for 49 CFR 174.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.5. Source: https://www.ecfr.gov/current/title-49/section-174.5,true,
t49_sec_174_9,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Safety and security inspection and acceptance.,49 CFR 174.9,Mapping level candidate for 49 CFR 174.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.9. Source: https://www.ecfr.gov/current/title-49/section-174.9,true,
t49_sec_174_14,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Movements to be expedited.,49 CFR 174.14,Mapping level candidate for 49 CFR 174.14. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.14. Source: https://www.ecfr.gov/current/title-49/section-174.14,true,
t49_sec_174_16,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Removal and disposition of hazardous materials at destination.,49 CFR 174.16,Mapping level candidate for 49 CFR 174.16. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.16. Source: https://www.ecfr.gov/current/title-49/section-174.16,true,
t49_sec_174_20,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Local or carrier restrictions.,49 CFR 174.20,Mapping level candidate for 49 CFR 174.20. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart A > 49 CFR 174.20. Source: https://www.ecfr.gov/current/title-49/section-174.20,true,
t49_subpart_174_b,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,General Operating Requirements,49 CFR Part 174 Subpart B,Mapping level candidate for 49 CFR Part 174 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-174/subpart-B,true,
t49_sec_174_24,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Shipping papers.,49 CFR 174.24,Mapping level candidate for 49 CFR 174.24. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart B > 49 CFR 174.24. Source: https://www.ecfr.gov/current/title-49/section-174.24,true,
t49_sec_174_26,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Notice to train crews.,49 CFR 174.26,Mapping level candidate for 49 CFR 174.26. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart B > 49 CFR 174.26. Source: https://www.ecfr.gov/current/title-49/section-174.26,true,
t49_sec_174_28,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Electronic Train Consist Information.,49 CFR 174.28,Mapping level candidate for 49 CFR 174.28. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart B > 49 CFR 174.28. Source: https://www.ecfr.gov/current/title-49/section-174.28,true,
t49_sec_174_50,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Nonconforming or leaking packages.,49 CFR 174.50,Mapping level candidate for 49 CFR 174.50. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart B > 49 CFR 174.50. Source: https://www.ecfr.gov/current/title-49/section-174.50,true,
t49_subpart_174_c,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,General Handling and Loading Requirements,49 CFR Part 174 Subpart C,Mapping level candidate for 49 CFR Part 174 Subpart C. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-174/subpart-C,true,
t49_sec_174_55,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,General requirements.,49 CFR 174.55,Mapping level candidate for 49 CFR 174.55. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart C > 49 CFR 174.55. Source: https://www.ecfr.gov/current/title-49/section-174.55,true,
t49_sec_174_57,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Cleaning cars.,49 CFR 174.57,Mapping level candidate for 49 CFR 174.57. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart C > 49 CFR 174.57. Source: https://www.ecfr.gov/current/title-49/section-174.57,true,
t49_sec_174_59,phmsa_hmr,title49.hazmat.loading_unloading_segregation_reference,1,Marking and placarding of rail cars.,49 CFR 174.59,Mapping level candidate for 49 CFR 174.59. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 174 > 49 CFR Part 174 Subpart C > 49 CFR 174.59. Source: https://www.ecfr.gov/current/title-49/section-174.59,true,
