mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_marking_t49_subpart_172_d,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_subpart_172_d,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR Part 172 Subpart D,Maps 49 CFR Part 172 Subpart D to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_300,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_300,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.300,Maps 49 CFR 172.300 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_301,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_301,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.301,Maps 49 CFR 172.301 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_302,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_302,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.302,Maps 49 CFR 172.302 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_303,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_303,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.303,Maps 49 CFR 172.303 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_304,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_304,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.304,Maps 49 CFR 172.304 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_306,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_306,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.306,Maps 49 CFR 172.306 to title49.hazmat.marking (operational).,false
map_title49_hazmat_marking_t49_sec_172_308,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_308,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.308,Maps 49 CFR 172.308 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_310,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_310,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.310,Maps 49 CFR 172.310 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_312,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_312,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.312,Maps 49 CFR 172.312 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_313,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_313,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.313,Maps 49 CFR 172.313 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_315,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_315,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.315,Maps 49 CFR 172.315 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_316,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_316,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.316,Maps 49 CFR 172.316 to title49.hazmat.marking (operational).,false
map_title49_hazmat_marking_t49_sec_172_317,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_317,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.317,Maps 49 CFR 172.317 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_320,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_320,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.320,Maps 49 CFR 172.320 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_322,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_322,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.322,Maps 49 CFR 172.322 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_323,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_323,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.323,Maps 49 CFR 172.323 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_324,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_324,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.324,Maps 49 CFR 172.324 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_325,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_325,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.325,Maps 49 CFR 172.325 to title49.hazmat.marking (operational).,true
map_title49_hazmat_marking_t49_sec_172_326,compliance_key,phmsa_hmr,title49.hazmat.marking,1,t49_sec_172_326,ck_t49_hazmat_marking,,,Title 49 Hazmat Marking to 49 CFR 172.326,Maps 49 CFR 172.326 to title49.hazmat.marking (operational).,true
