citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_172_d,phmsa_hmr,title49.hazmat.marking,1,Marking,49 CFR Part 172 Subpart D,Mapping level candidate for 49 CFR Part 172 Subpart D. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D. Source: https://www.ecfr.gov/current/title-49/part-172/subpart-D,true,
t49_sec_172_300,phmsa_hmr,title49.hazmat.marking,1,Applicability.,49 CFR 172.300,Mapping level candidate for 49 CFR 172.300. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.300. Source: https://www.ecfr.gov/current/title-49/section-172.300,true,
t49_sec_172_301,phmsa_hmr,title49.hazmat.marking,1,General marking requirements for non-bulk packagings.,49 CFR 172.301,Mapping level candidate for 49 CFR 172.301. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.301. Source: https://www.ecfr.gov/current/title-49/section-172.301,true,
t49_sec_172_302,phmsa_hmr,title49.hazmat.marking,1,General marking requirements for bulk packagings.,49 CFR 172.302,Mapping level candidate for 49 CFR 172.302. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.302. Source: https://www.ecfr.gov/current/title-49/section-172.302,true,
t49_sec_172_303,phmsa_hmr,title49.hazmat.marking,1,Prohibited marking.,49 CFR 172.303,Mapping level candidate for 49 CFR 172.303. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.303. Source: https://www.ecfr.gov/current/title-49/section-172.303,true,
t49_sec_172_304,phmsa_hmr,title49.hazmat.marking,1,Marking requirements.,49 CFR 172.304,Mapping level candidate for 49 CFR 172.304. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.304. Source: https://www.ecfr.gov/current/title-49/section-172.304,true,
t49_sec_172_306,phmsa_hmr,title49.hazmat.marking,1,Sec. 172.306 [Reserved],49 CFR 172.306,Mapping level candidate for 49 CFR 172.306. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.306. Source: https://www.ecfr.gov/current/title-49/section-172.306,false,
t49_sec_172_308,phmsa_hmr,title49.hazmat.marking,1,Authorized abbreviations.,49 CFR 172.308,Mapping level candidate for 49 CFR 172.308. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.308. Source: https://www.ecfr.gov/current/title-49/section-172.308,true,
t49_sec_172_310,phmsa_hmr,title49.hazmat.marking,1,Class 7 (radioactive) materials.,49 CFR 172.310,Mapping level candidate for 49 CFR 172.310. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.310. Source: https://www.ecfr.gov/current/title-49/section-172.310,true,
t49_sec_172_312,phmsa_hmr,title49.hazmat.marking,1,Liquid hazardous materials in non-bulk packagings.,49 CFR 172.312,Mapping level candidate for 49 CFR 172.312. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart D > 49 CFR 172.312. Source: https://www.ecfr.gov/current/title-49/section-172.312,true,
