mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_packaging_t49_subpart_173_b,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_subpart_173_b,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR Part 173 Subpart B,Maps 49 CFR Part 173 Subpart B to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_21,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_21,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.21,Maps 49 CFR 173.21 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_22,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_22,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.22,Maps 49 CFR 173.22 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_22a,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_22a,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.22a,Maps 49 CFR 173.22a to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_23,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_23,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.23,Maps 49 CFR 173.23 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_24,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_24,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.24,Maps 49 CFR 173.24 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_24a,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_24a,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.24a,Maps 49 CFR 173.24a to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_24b,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_24b,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.24b,Maps 49 CFR 173.24b to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_25,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_25,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.25,Maps 49 CFR 173.25 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_26,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_26,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.26,Maps 49 CFR 173.26 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_27,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_27,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.27,Maps 49 CFR 173.27 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_28,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_28,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.28,Maps 49 CFR 173.28 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_29,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_29,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.29,Maps 49 CFR 173.29 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_30,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_30,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.30,Maps 49 CFR 173.30 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_31,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_31,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.31,Maps 49 CFR 173.31 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_32,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_32,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.32,Maps 49 CFR 173.32 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_33,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_33,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.33,Maps 49 CFR 173.33 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_34,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_34,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.34,Maps 49 CFR 173.34 to title49.hazmat.packaging (operational).,false
map_title49_hazmat_packaging_t49_sec_173_35,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_35,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.35,Maps 49 CFR 173.35 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_36,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_36,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.36,Maps 49 CFR 173.36 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_37,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_37,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.37,Maps 49 CFR 173.37 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_40,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_40,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.40,Maps 49 CFR 173.40 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_41,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_41,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.41,Maps 49 CFR 173.41 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_subpart_173_e,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_subpart_173_e,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR Part 173 Subpart E,Maps 49 CFR Part 173 Subpart E to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_158,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_158,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.158,Maps 49 CFR 173.158 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_159,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_159,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.159,Maps 49 CFR 173.159 to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_159a,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_159a,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.159a,Maps 49 CFR 173.159a to title49.hazmat.packaging (operational).,true
map_title49_hazmat_packaging_t49_sec_173_160,compliance_key,phmsa_hmr,title49.hazmat.packaging,1,t49_sec_173_160,ck_t49_hazmat_packaging,,,Title 49 Hazmat Packaging to 49 CFR 173.160,Maps 49 CFR 173.160 to title49.hazmat.packaging (operational).,true
