citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_173_b,phmsa_hmr,title49.hazmat.packaging,1,Preparation of Hazardous Materials for Transportation,49 CFR Part 173 Subpart B,Mapping level candidate for 49 CFR Part 173 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-173/subpart-B,true,
t49_sec_173_21,phmsa_hmr,title49.hazmat.packaging,1,Forbidden materials and packages.,49 CFR 173.21,Mapping level candidate for 49 CFR 173.21. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.21. Source: https://www.ecfr.gov/current/title-49/section-173.21,true,
t49_sec_173_22,phmsa_hmr,title49.hazmat.packaging,1,Shipper's responsibility.,49 CFR 173.22,Mapping level candidate for 49 CFR 173.22. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.22. Source: https://www.ecfr.gov/current/title-49/section-173.22,true,
t49_sec_173_22a,phmsa_hmr,title49.hazmat.packaging,1,Use of packagings authorized under special permits.,49 CFR 173.22a,Mapping level candidate for 49 CFR 173.22a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.22a. Source: https://www.ecfr.gov/current/title-49/section-173.22a,true,
t49_sec_173_23,phmsa_hmr,title49.hazmat.packaging,1,Previously authorized packaging.,49 CFR 173.23,Mapping level candidate for 49 CFR 173.23. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.23. Source: https://www.ecfr.gov/current/title-49/section-173.23,true,
t49_sec_173_24,phmsa_hmr,title49.hazmat.packaging,1,General requirements for packagings and packages.,49 CFR 173.24,Mapping level candidate for 49 CFR 173.24. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.24. Source: https://www.ecfr.gov/current/title-49/section-173.24,true,
t49_sec_173_24a,phmsa_hmr,title49.hazmat.packaging,1,Additional general requirements for non-bulk packagings and packages.,49 CFR 173.24a,Mapping level candidate for 49 CFR 173.24a. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.24a. Source: https://www.ecfr.gov/current/title-49/section-173.24a,true,
t49_sec_173_24b,phmsa_hmr,title49.hazmat.packaging,1,Additional general requirements for bulk packagings.,49 CFR 173.24b,Mapping level candidate for 49 CFR 173.24b. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.24b. Source: https://www.ecfr.gov/current/title-49/section-173.24b,true,
t49_sec_173_25,phmsa_hmr,title49.hazmat.packaging,1,Authorized packagings and overpacks.,49 CFR 173.25,Mapping level candidate for 49 CFR 173.25. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.25. Source: https://www.ecfr.gov/current/title-49/section-173.25,true,
t49_sec_173_26,phmsa_hmr,title49.hazmat.packaging,1,Quantity limitations.,49 CFR 173.26,Mapping level candidate for 49 CFR 173.26. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.26. Source: https://www.ecfr.gov/current/title-49/section-173.26,true,
t49_sec_173_27,phmsa_hmr,title49.hazmat.packaging,1,General requirements for transportation by aircraft.,49 CFR 173.27,Mapping level candidate for 49 CFR 173.27. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.27. Source: https://www.ecfr.gov/current/title-49/section-173.27,true,
t49_sec_173_28,phmsa_hmr,title49.hazmat.packaging,1,"Reuse, reconditioning and remanufacture of packagings.",49 CFR 173.28,Mapping level candidate for 49 CFR 173.28. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.28. Source: https://www.ecfr.gov/current/title-49/section-173.28,true,
t49_sec_173_29,phmsa_hmr,title49.hazmat.packaging,1,Empty packagings.,49 CFR 173.29,Mapping level candidate for 49 CFR 173.29. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.29. Source: https://www.ecfr.gov/current/title-49/section-173.29,true,
t49_sec_173_30,phmsa_hmr,title49.hazmat.packaging,1,Loading and unloading of transport vehicles.,49 CFR 173.30,Mapping level candidate for 49 CFR 173.30. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.30. Source: https://www.ecfr.gov/current/title-49/section-173.30,true,
t49_sec_173_31,phmsa_hmr,title49.hazmat.packaging,1,Use of tank cars.,49 CFR 173.31,Mapping level candidate for 49 CFR 173.31. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.31. Source: https://www.ecfr.gov/current/title-49/section-173.31,true,
t49_sec_173_32,phmsa_hmr,title49.hazmat.packaging,1,Requirements for the use of portable tanks.,49 CFR 173.32,Mapping level candidate for 49 CFR 173.32. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.32. Source: https://www.ecfr.gov/current/title-49/section-173.32,true,
t49_sec_173_33,phmsa_hmr,title49.hazmat.packaging,1,Hazardous materials in cargo tank motor vehicles.,49 CFR 173.33,Mapping level candidate for 49 CFR 173.33. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.33. Source: https://www.ecfr.gov/current/title-49/section-173.33,true,
t49_sec_173_34,phmsa_hmr,title49.hazmat.packaging,1,Sec. 173.34 [Reserved],49 CFR 173.34,Mapping level candidate for 49 CFR 173.34. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.34. Source: https://www.ecfr.gov/current/title-49/section-173.34,false,
t49_sec_173_35,phmsa_hmr,title49.hazmat.packaging,1,Hazardous materials in IBCs.,49 CFR 173.35,Mapping level candidate for 49 CFR 173.35. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.35. Source: https://www.ecfr.gov/current/title-49/section-173.35,true,
t49_sec_173_36,phmsa_hmr,title49.hazmat.packaging,1,Hazardous materials in Large Packagings.,49 CFR 173.36,Mapping level candidate for 49 CFR 173.36. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.36. Source: https://www.ecfr.gov/current/title-49/section-173.36,true,
t49_sec_173_37,phmsa_hmr,title49.hazmat.packaging,1,Hazardous Materials in Flexible Bulk Containers.,49 CFR 173.37,Mapping level candidate for 49 CFR 173.37. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.37. Source: https://www.ecfr.gov/current/title-49/section-173.37,true,
t49_sec_173_40,phmsa_hmr,title49.hazmat.packaging,1,General packaging requirements for toxic materials packaged in cylinders.,49 CFR 173.40,Mapping level candidate for 49 CFR 173.40. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.40. Source: https://www.ecfr.gov/current/title-49/section-173.40,true,
t49_sec_173_41,phmsa_hmr,title49.hazmat.packaging,1,Sampling and testing program for unrefined petroleum-based products.,49 CFR 173.41,Mapping level candidate for 49 CFR 173.41. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart B > 49 CFR 173.41. Source: https://www.ecfr.gov/current/title-49/section-173.41,true,
t49_subpart_173_e,phmsa_hmr,title49.hazmat.packaging,1,Non-bulk Packaging for Hazardous Materials Other Than Class 1 and Class 7,49 CFR Part 173 Subpart E,Mapping level candidate for 49 CFR Part 173 Subpart E. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 173 > 49 CFR Part 173 Subpart E. Source: https://www.ecfr.gov/current/title-49/part-173/subpart-E,true,
