mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_placarding_t49_subpart_172_f,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_subpart_172_f,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR Part 172 Subpart F,Maps 49 CFR Part 172 Subpart F to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_500,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_500,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.500,Maps 49 CFR 172.500 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_502,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_502,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.502,Maps 49 CFR 172.502 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_503,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_503,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.503,Maps 49 CFR 172.503 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_504,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_504,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.504,Maps 49 CFR 172.504 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_505,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_505,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.505,Maps 49 CFR 172.505 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_506,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_506,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.506,Maps 49 CFR 172.506 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_507,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_507,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.507,Maps 49 CFR 172.507 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_508,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_508,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.508,Maps 49 CFR 172.508 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_510,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_510,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.510,Maps 49 CFR 172.510 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_512,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_512,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.512,Maps 49 CFR 172.512 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_514,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_514,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.514,Maps 49 CFR 172.514 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_516,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_516,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.516,Maps 49 CFR 172.516 to title49.hazmat.placarding (operational).,true
map_title49_hazmat_placarding_t49_sec_172_519,compliance_key,phmsa_hmr,title49.hazmat.placarding,1,t49_sec_172_519,ck_t49_hazmat_placarding,,,Title 49 Hazmat Placarding to 49 CFR 172.519,Maps 49 CFR 172.519 to title49.hazmat.placarding (operational).,true
