citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_172_f,phmsa_hmr,title49.hazmat.placarding,1,Placarding,49 CFR Part 172 Subpart F,Mapping level candidate for 49 CFR Part 172 Subpart F. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F. Source: https://www.ecfr.gov/current/title-49/part-172/subpart-F,true,
t49_sec_172_500,phmsa_hmr,title49.hazmat.placarding,1,Applicability of placarding requirements.,49 CFR 172.500,Mapping level candidate for 49 CFR 172.500. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.500. Source: https://www.ecfr.gov/current/title-49/section-172.500,true,
t49_sec_172_502,phmsa_hmr,title49.hazmat.placarding,1,Prohibited and permissive placarding.,49 CFR 172.502,Mapping level candidate for 49 CFR 172.502. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.502. Source: https://www.ecfr.gov/current/title-49/section-172.502,true,
t49_sec_172_503,phmsa_hmr,title49.hazmat.placarding,1,Identification number display on placards.,49 CFR 172.503,Mapping level candidate for 49 CFR 172.503. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.503. Source: https://www.ecfr.gov/current/title-49/section-172.503,true,
t49_sec_172_504,phmsa_hmr,title49.hazmat.placarding,1,General placarding requirements.,49 CFR 172.504,Mapping level candidate for 49 CFR 172.504. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.504. Source: https://www.ecfr.gov/current/title-49/section-172.504,true,
t49_sec_172_505,phmsa_hmr,title49.hazmat.placarding,1,Placarding for subsidiary hazards.,49 CFR 172.505,Mapping level candidate for 49 CFR 172.505. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.505. Source: https://www.ecfr.gov/current/title-49/section-172.505,true,
t49_sec_172_506,phmsa_hmr,title49.hazmat.placarding,1,Providing and affixing placards: Highway.,49 CFR 172.506,Mapping level candidate for 49 CFR 172.506. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.506. Source: https://www.ecfr.gov/current/title-49/section-172.506,true,
t49_sec_172_507,phmsa_hmr,title49.hazmat.placarding,1,Special placarding provisions: Highway.,49 CFR 172.507,Mapping level candidate for 49 CFR 172.507. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.507. Source: https://www.ecfr.gov/current/title-49/section-172.507,true,
t49_sec_172_508,phmsa_hmr,title49.hazmat.placarding,1,Placarding and affixing placards: Rail.,49 CFR 172.508,Mapping level candidate for 49 CFR 172.508. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.508. Source: https://www.ecfr.gov/current/title-49/section-172.508,true,
t49_sec_172_510,phmsa_hmr,title49.hazmat.placarding,1,Special placarding provisions: Rail.,49 CFR 172.510,Mapping level candidate for 49 CFR 172.510. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.510. Source: https://www.ecfr.gov/current/title-49/section-172.510,true,
t49_sec_172_512,phmsa_hmr,title49.hazmat.placarding,1,Freight containers and aircraft unit load devices.,49 CFR 172.512,Mapping level candidate for 49 CFR 172.512. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.512. Source: https://www.ecfr.gov/current/title-49/section-172.512,true,
t49_sec_172_514,phmsa_hmr,title49.hazmat.placarding,1,Bulk packagings.,49 CFR 172.514,Mapping level candidate for 49 CFR 172.514. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.514. Source: https://www.ecfr.gov/current/title-49/section-172.514,true,
t49_sec_172_516,phmsa_hmr,title49.hazmat.placarding,1,Visibility and display of placards.,49 CFR 172.516,Mapping level candidate for 49 CFR 172.516. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.516. Source: https://www.ecfr.gov/current/title-49/section-172.516,true,
t49_sec_172_519,phmsa_hmr,title49.hazmat.placarding,1,General specifications for placards.,49 CFR 172.519,Mapping level candidate for 49 CFR 172.519. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.519. Source: https://www.ecfr.gov/current/title-49/section-172.519,true,
t49_sec_172_521,phmsa_hmr,title49.hazmat.placarding,1,DANGEROUS placard.,49 CFR 172.521,Mapping level candidate for 49 CFR 172.521. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.521. Source: https://www.ecfr.gov/current/title-49/section-172.521,true,
t49_sec_172_522,phmsa_hmr,title49.hazmat.placarding,1,"EXPLOSIVES 1.1, EXPLOSIVES 1.2 and EXPLOSIVES 1.3 placards.",49 CFR 172.522,Mapping level candidate for 49 CFR 172.522. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.522. Source: https://www.ecfr.gov/current/title-49/section-172.522,true,
t49_sec_172_523,phmsa_hmr,title49.hazmat.placarding,1,EXPLOSIVES 1.4 placard.,49 CFR 172.523,Mapping level candidate for 49 CFR 172.523. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.523. Source: https://www.ecfr.gov/current/title-49/section-172.523,true,
t49_sec_172_524,phmsa_hmr,title49.hazmat.placarding,1,EXPLOSIVES 1.5 placard.,49 CFR 172.524,Mapping level candidate for 49 CFR 172.524. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.524. Source: https://www.ecfr.gov/current/title-49/section-172.524,true,
t49_sec_172_525,phmsa_hmr,title49.hazmat.placarding,1,EXPLOSIVES 1.6 placard.,49 CFR 172.525,Mapping level candidate for 49 CFR 172.525. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.525. Source: https://www.ecfr.gov/current/title-49/section-172.525,true,
t49_sec_172_526,phmsa_hmr,title49.hazmat.placarding,1,Sec. 172.526 [Reserved],49 CFR 172.526,Mapping level candidate for 49 CFR 172.526. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.526. Source: https://www.ecfr.gov/current/title-49/section-172.526,false,
t49_sec_172_527,phmsa_hmr,title49.hazmat.placarding,1,Background requirements for certain placards.,49 CFR 172.527,Mapping level candidate for 49 CFR 172.527. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.527. Source: https://www.ecfr.gov/current/title-49/section-172.527,true,
t49_sec_172_528,phmsa_hmr,title49.hazmat.placarding,1,NON-FLAMMABLE GAS placard.,49 CFR 172.528,Mapping level candidate for 49 CFR 172.528. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.528. Source: https://www.ecfr.gov/current/title-49/section-172.528,true,
t49_sec_172_530,phmsa_hmr,title49.hazmat.placarding,1,OXYGEN placard.,49 CFR 172.530,Mapping level candidate for 49 CFR 172.530. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.530. Source: https://www.ecfr.gov/current/title-49/section-172.530,true,
t49_sec_172_532,phmsa_hmr,title49.hazmat.placarding,1,FLAMMABLE GAS placard.,49 CFR 172.532,Mapping level candidate for 49 CFR 172.532. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.532. Source: https://www.ecfr.gov/current/title-49/section-172.532,true,
t49_sec_172_536,phmsa_hmr,title49.hazmat.placarding,1,Sec. 172.536 [Reserved],49 CFR 172.536,Mapping level candidate for 49 CFR 172.536. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.536. Source: https://www.ecfr.gov/current/title-49/section-172.536,false,
t49_sec_172_540,phmsa_hmr,title49.hazmat.placarding,1,POISON GAS placard.,49 CFR 172.540,Mapping level candidate for 49 CFR 172.540. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.540. Source: https://www.ecfr.gov/current/title-49/section-172.540,true,
t49_sec_172_542,phmsa_hmr,title49.hazmat.placarding,1,FLAMMABLE placard.,49 CFR 172.542,Mapping level candidate for 49 CFR 172.542. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.542. Source: https://www.ecfr.gov/current/title-49/section-172.542,true,
t49_sec_172_544,phmsa_hmr,title49.hazmat.placarding,1,COMBUSTIBLE placard.,49 CFR 172.544,Mapping level candidate for 49 CFR 172.544. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.544. Source: https://www.ecfr.gov/current/title-49/section-172.544,true,
t49_sec_172_546,phmsa_hmr,title49.hazmat.placarding,1,FLAMMABLE SOLID placard.,49 CFR 172.546,Mapping level candidate for 49 CFR 172.546. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.546. Source: https://www.ecfr.gov/current/title-49/section-172.546,true,
t49_sec_172_547,phmsa_hmr,title49.hazmat.placarding,1,SPONTANEOUSLY COMBUSTIBLE placard.,49 CFR 172.547,Mapping level candidate for 49 CFR 172.547. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.547. Source: https://www.ecfr.gov/current/title-49/section-172.547,true,
t49_sec_172_548,phmsa_hmr,title49.hazmat.placarding,1,DANGEROUS WHEN WET placard.,49 CFR 172.548,Mapping level candidate for 49 CFR 172.548. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.548. Source: https://www.ecfr.gov/current/title-49/section-172.548,true,
t49_sec_172_550,phmsa_hmr,title49.hazmat.placarding,1,OXIDIZER placard.,49 CFR 172.550,Mapping level candidate for 49 CFR 172.550. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart F > 49 CFR 172.550. Source: https://www.ecfr.gov/current/title-49/section-172.550,true,
