mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_shipping_papers_t49_subpart_172_c,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_subpart_172_c,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR Part 172 Subpart C,Maps 49 CFR Part 172 Subpart C to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_200,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_200,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.200,Maps 49 CFR 172.200 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_201,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_201,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.201,Maps 49 CFR 172.201 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_202,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_202,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.202,Maps 49 CFR 172.202 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_203,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_203,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.203,Maps 49 CFR 172.203 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_204,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_204,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.204,Maps 49 CFR 172.204 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_205,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_205,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.205,Maps 49 CFR 172.205 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_subpart_172_g,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_subpart_172_g,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR Part 172 Subpart G,Maps 49 CFR Part 172 Subpart G to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_600,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_600,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.600,Maps 49 CFR 172.600 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_602,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_602,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.602,Maps 49 CFR 172.602 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_604,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_604,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.604,Maps 49 CFR 172.604 to title49.hazmat.shipping_papers (operational).,true
map_title49_hazmat_shipping_papers_t49_sec_172_606,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_606,ck_t49_hazmat_shipping_papers,,,Title 49 Hazmat Shipping Papers to 49 CFR 172.606,Maps 49 CFR 172.606 to title49.hazmat.shipping_papers (operational).,true
map_fact_title49_hazmat_shipping_papers_t49_hazmat_ship_3afa8def,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_202,ck_t49_hazmat_shipping_papers,,t49_hazmat_shipping_paper_complete,Title 49 Hazmat Shipping Papers fact Shipping paper complete,"Shipping paper contains required basic description, sequence, certification, and emergency response information. products=SupplyArr,RoutArr; entities=shipment,shipping_paper; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_hazmat_shipping_papers_t49_hazmat_er_i_43dd8ee3,compliance_key,phmsa_hmr,title49.hazmat.shipping_papers,1,t49_sec_172_602,ck_t49_hazmat_shipping_papers,,t49_hazmat_er_info_available,Title 49 Hazmat Shipping Papers fact Emergency response information available,"Emergency response information is immediately available with the shipment. products=SupplyArr,RoutArr; entities=shipment,emergency_response_info; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
