citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_172_c,phmsa_hmr,title49.hazmat.shipping_papers,1,Shipping Papers,49 CFR Part 172 Subpart C,Mapping level candidate for 49 CFR Part 172 Subpart C. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-172/subpart-C,true,
t49_sec_172_200,phmsa_hmr,title49.hazmat.shipping_papers,1,Applicability.,49 CFR 172.200,Mapping level candidate for 49 CFR 172.200. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C > 49 CFR 172.200. Source: https://www.ecfr.gov/current/title-49/section-172.200,true,
t49_sec_172_201,phmsa_hmr,title49.hazmat.shipping_papers,1,Preparation and retention of shipping papers.,49 CFR 172.201,Mapping level candidate for 49 CFR 172.201. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C > 49 CFR 172.201. Source: https://www.ecfr.gov/current/title-49/section-172.201,true,
t49_sec_172_202,phmsa_hmr,title49.hazmat.shipping_papers,1,Description of hazardous material on shipping papers.,49 CFR 172.202,Mapping level candidate for 49 CFR 172.202. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C > 49 CFR 172.202. Source: https://www.ecfr.gov/current/title-49/section-172.202,true,
t49_sec_172_203,phmsa_hmr,title49.hazmat.shipping_papers,1,Additional description requirements.,49 CFR 172.203,Mapping level candidate for 49 CFR 172.203. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C > 49 CFR 172.203. Source: https://www.ecfr.gov/current/title-49/section-172.203,true,
t49_sec_172_204,phmsa_hmr,title49.hazmat.shipping_papers,1,Shipper's certification.,49 CFR 172.204,Mapping level candidate for 49 CFR 172.204. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C > 49 CFR 172.204. Source: https://www.ecfr.gov/current/title-49/section-172.204,true,
t49_sec_172_205,phmsa_hmr,title49.hazmat.shipping_papers,1,Hazardous waste manifest.,49 CFR 172.205,Mapping level candidate for 49 CFR 172.205. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart C > 49 CFR 172.205. Source: https://www.ecfr.gov/current/title-49/section-172.205,true,
t49_subpart_172_g,phmsa_hmr,title49.hazmat.shipping_papers,1,Emergency Response Information,49 CFR Part 172 Subpart G,Mapping level candidate for 49 CFR Part 172 Subpart G. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart G. Source: https://www.ecfr.gov/current/title-49/part-172/subpart-G,true,
t49_sec_172_600,phmsa_hmr,title49.hazmat.shipping_papers,1,Applicability and general requirements.,49 CFR 172.600,Mapping level candidate for 49 CFR 172.600. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart G > 49 CFR 172.600. Source: https://www.ecfr.gov/current/title-49/section-172.600,true,
t49_sec_172_602,phmsa_hmr,title49.hazmat.shipping_papers,1,Emergency response information.,49 CFR 172.602,Mapping level candidate for 49 CFR 172.602. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart G > 49 CFR 172.602. Source: https://www.ecfr.gov/current/title-49/section-172.602,true,
t49_sec_172_604,phmsa_hmr,title49.hazmat.shipping_papers,1,Emergency response telephone number.,49 CFR 172.604,Mapping level candidate for 49 CFR 172.604. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart G > 49 CFR 172.604. Source: https://www.ecfr.gov/current/title-49/section-172.604,true,
t49_sec_172_606,phmsa_hmr,title49.hazmat.shipping_papers,1,Carrier information contact.,49 CFR 172.606,Mapping level candidate for 49 CFR 172.606. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter C > 49 CFR Part 172 > 49 CFR Part 172 Subpart G > 49 CFR 172.606. Source: https://www.ecfr.gov/current/title-49/section-172.606,true,
