mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_hazmat_special_permits_exceptions_t49_subpart_107_b,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_subpart_107_b,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR Part 107 Subpart B,Maps 49 CFR Part 107 Subpart B to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_101,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_101,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.101,Maps 49 CFR 107.101 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_105,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_105,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.105,Maps 49 CFR 107.105 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_107,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_107,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.107,Maps 49 CFR 107.107 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_109,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_109,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.109,Maps 49 CFR 107.109 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_111,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_111,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.111,Maps 49 CFR 107.111 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_113,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_113,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.113,Maps 49 CFR 107.113 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_117,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_117,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.117,Maps 49 CFR 107.117 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_121,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_121,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.121,Maps 49 CFR 107.121 to title49.hazmat.special_permits_exceptions (operational).,true
map_title49_hazmat_special_permits_exceptions_t49_sec_107_123,compliance_key,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,t49_sec_107_123,ck_t49_hazmat_special_permits_exceptions,,,Title 49 Hazmat Special Permits and Exceptions to 49 CFR 107.123,Maps 49 CFR 107.123 to title49.hazmat.special_permits_exceptions (operational).,true
