citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_107_b,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Special Permits,49 CFR Part 107 Subpart B,Mapping level candidate for 49 CFR Part 107 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-107/subpart-B,true,
t49_sec_107_101,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Purpose and scope.,49 CFR 107.101,Mapping level candidate for 49 CFR 107.101. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.101. Source: https://www.ecfr.gov/current/title-49/section-107.101,true,
t49_sec_107_105,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Application for special permit.,49 CFR 107.105,Mapping level candidate for 49 CFR 107.105. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.105. Source: https://www.ecfr.gov/current/title-49/section-107.105,true,
t49_sec_107_107,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Application for party status.,49 CFR 107.107,Mapping level candidate for 49 CFR 107.107. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.107. Source: https://www.ecfr.gov/current/title-49/section-107.107,true,
t49_sec_107_109,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Application for renewal.,49 CFR 107.109,Mapping level candidate for 49 CFR 107.109. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.109. Source: https://www.ecfr.gov/current/title-49/section-107.109,true,
t49_sec_107_111,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Withdrawal.,49 CFR 107.111,Mapping level candidate for 49 CFR 107.111. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.111. Source: https://www.ecfr.gov/current/title-49/section-107.111,true,
t49_sec_107_113,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Application processing and evaluation.,49 CFR 107.113,Mapping level candidate for 49 CFR 107.113. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.113. Source: https://www.ecfr.gov/current/title-49/section-107.113,true,
t49_sec_107_117,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Emergency processing.,49 CFR 107.117,Mapping level candidate for 49 CFR 107.117. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.117. Source: https://www.ecfr.gov/current/title-49/section-107.117,true,
t49_sec_107_121,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,"Modification, suspension or termination of special permit or grant of party status.",49 CFR 107.121,Mapping level candidate for 49 CFR 107.121. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.121. Source: https://www.ecfr.gov/current/title-49/section-107.121,true,
t49_sec_107_123,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Reconsideration.,49 CFR 107.123,Mapping level candidate for 49 CFR 107.123. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.123. Source: https://www.ecfr.gov/current/title-49/section-107.123,true,
t49_sec_107_125,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Appeal.,49 CFR 107.125,Mapping level candidate for 49 CFR 107.125. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.125. Source: https://www.ecfr.gov/current/title-49/section-107.125,true,
t49_sec_107_127,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Availability of documents for public inspection.,49 CFR 107.127,Mapping level candidate for 49 CFR 107.127. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart B > 49 CFR 107.127. Source: https://www.ecfr.gov/current/title-49/section-107.127,true,
t49_subpart_107_h,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,"Approvals, Registrations and Submissions",49 CFR Part 107 Subpart H,Mapping level candidate for 49 CFR Part 107 Subpart H. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart H. Source: https://www.ecfr.gov/current/title-49/part-107/subpart-H,true,
t49_sec_107_701,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Purpose and scope.,49 CFR 107.701,Mapping level candidate for 49 CFR 107.701. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart H > 49 CFR 107.701. Source: https://www.ecfr.gov/current/title-49/section-107.701,true,
t49_sec_107_705,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,"Registrations, reports, and applications for approval.",49 CFR 107.705,Mapping level candidate for 49 CFR 107.705. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart H > 49 CFR 107.705. Source: https://www.ecfr.gov/current/title-49/section-107.705,true,
t49_sec_107_709,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,"Processing of an application for approval, including an application for renewal or modification.",49 CFR 107.709,Mapping level candidate for 49 CFR 107.709. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart H > 49 CFR 107.709. Source: https://www.ecfr.gov/current/title-49/section-107.709,true,
t49_sec_107_711,phmsa_hmr,title49.hazmat.special_permits_exceptions,1,Withdrawal.,49 CFR 107.711,Mapping level candidate for 49 CFR 107.711. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter A > 49 CFR Part 107 > 49 CFR Part 107 Subpart H > 49 CFR 107.711. Source: https://www.ecfr.gov/current/title-49/section-107.711,true,
