mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_household_goods_consumer_protection_t49_part_375,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_part_375,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375,Maps 49 CFR Part 375 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_d4f78779,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_a,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart A,Maps 49 CFR Part 375 Subpart A to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_101,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_101,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.101,Maps 49 CFR 375.101 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_103,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_103,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.103,Maps 49 CFR 375.103 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_105,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_105,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.105,Maps 49 CFR 375.105 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_a678f874,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_b,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart B,Maps 49 CFR Part 375 Subpart B to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_201,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_201,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.201,Maps 49 CFR 375.201 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_203,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_203,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.203,Maps 49 CFR 375.203 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_205,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_205,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.205,Maps 49 CFR 375.205 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_207,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_207,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.207,Maps 49 CFR 375.207 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_209,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_209,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.209,Maps 49 CFR 375.209 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_211,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_211,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.211,Maps 49 CFR 375.211 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_213,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_213,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.213,Maps 49 CFR 375.213 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_215,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_215,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.215,Maps 49 CFR 375.215 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_217,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_217,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.217,Maps 49 CFR 375.217 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_219,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_219,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.219,Maps 49 CFR 375.219 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_221,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_221,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.221,Maps 49 CFR 375.221 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_c845d6c2,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_c,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart C,Maps 49 CFR Part 375 Subpart C to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_301,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_301,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.301,Maps 49 CFR 375.301 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_303,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_303,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.303,Maps 49 CFR 375.303 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_10bb3f48,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_d,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart D,Maps 49 CFR Part 375 Subpart D to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_401,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_401,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.401,Maps 49 CFR 375.401 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_403,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_403,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.403,Maps 49 CFR 375.403 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_405,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_405,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.405,Maps 49 CFR 375.405 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_407,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_407,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.407,Maps 49 CFR 375.407 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_409,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_409,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.409,Maps 49 CFR 375.409 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_726d2229,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_e,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart E,Maps 49 CFR Part 375 Subpart E to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_501,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_501,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.501,Maps 49 CFR 375.501 to title49.household_goods.consumer_protection (reference).,false
map_title49_household_goods_consumer_protection_t49_sec_375_503,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_503,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.503,Maps 49 CFR 375.503 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_505,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_505,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.505,Maps 49 CFR 375.505 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_507,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_507,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.507,Maps 49 CFR 375.507 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_509,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_509,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.509,Maps 49 CFR 375.509 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_511,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_511,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.511,Maps 49 CFR 375.511 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_513,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_513,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.513,Maps 49 CFR 375.513 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_515,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_515,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.515,Maps 49 CFR 375.515 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_517,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_517,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.517,Maps 49 CFR 375.517 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_519,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_519,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.519,Maps 49 CFR 375.519 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_521,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_521,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.521,Maps 49 CFR 375.521 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_9fc44638,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_f,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart F,Maps 49 CFR Part 375 Subpart F to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_601,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_601,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.601,Maps 49 CFR 375.601 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_603,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_603,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.603,Maps 49 CFR 375.603 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_605,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_605,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.605,Maps 49 CFR 375.605 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_607,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_607,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.607,Maps 49 CFR 375.607 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_609,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_609,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.609,Maps 49 CFR 375.609 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_e7c6aeae,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_g,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart G,Maps 49 CFR Part 375 Subpart G to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_701,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_701,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.701,Maps 49 CFR 375.701 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_703,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_703,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.703,Maps 49 CFR 375.703 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_705,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_705,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.705,Maps 49 CFR 375.705 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_707,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_707,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.707,Maps 49 CFR 375.707 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_709,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_709,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.709,Maps 49 CFR 375.709 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_17979ef0,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_h,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart H,Maps 49 CFR Part 375 Subpart H to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_801,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_801,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.801,Maps 49 CFR 375.801 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_803,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_803,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.803,Maps 49 CFR 375.803 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_805,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_805,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.805,Maps 49 CFR 375.805 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_807,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_807,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.807,Maps 49 CFR 375.807 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sub_8910d34c,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_subpart_375_i,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Part 375 Subpart I,Maps 49 CFR Part 375 Subpart I to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_sec_375_901,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_sec_375_901,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR 375.901,Maps 49 CFR 375.901 to title49.household_goods.consumer_protection (reference).,true
map_title49_household_goods_consumer_protection_t49_app_203d4a72,compliance_key,fmcsa_household_goods,title49.household_goods.consumer_protection,1,t49_app_part_375_a,ck_t49_household_goods_consumer_protection,,,Title 49 Household Goods Consumer Protection to 49 CFR Appendix A to Part 375,Maps 49 CFR Appendix A to Part 375 to title49.household_goods.consumer_protection (reference).,true
