mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_motorcarrier_applicability_t49_part_390,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_part_390,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR Part 390,Maps 49 CFR Part 390 to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_subpart_390_a,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_subpart_390_a,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR Part 390 Subpart A,Maps 49 CFR Part 390 Subpart A to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_1,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_1,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.1,Maps 49 CFR 390.1 to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_3,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_3,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.3,Maps 49 CFR 390.3 to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_3t,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_3t,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.3T,Maps 49 CFR 390.3T to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_4,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_4,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.4,Maps 49 CFR 390.4 to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_5,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_5,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.5,Maps 49 CFR 390.5 to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_5t,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_5t,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.5T,Maps 49 CFR 390.5T to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_6,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_6,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.6,Maps 49 CFR 390.6 to title49.motorcarrier.applicability (operational).,true
map_title49_motorcarrier_applicability_t49_sec_390_7,compliance_key,fmcsa_fmcsr,title49.motorcarrier.applicability,1,t49_sec_390_7,ck_t49_motorcarrier_applicability,,,Title 49 Motor Carrier Applicability to 49 CFR 390.7,Maps 49 CFR 390.7 to title49.motorcarrier.applicability (operational).,true
