citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_390,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Federal Motor Carrier Safety Regulations; General,49 CFR Part 390,Mapping level candidate for 49 CFR Part 390. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390. Source: https://www.ecfr.gov/current/title-49/part-390,true,
t49_subpart_390_a,fmcsa_fmcsr,title49.motorcarrier.applicability,1,General Applicability and Definitions,49 CFR Part 390 Subpart A,Mapping level candidate for 49 CFR Part 390 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-390/subpart-A,true,
t49_sec_390_1,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Purpose.,49 CFR 390.1,Mapping level candidate for 49 CFR 390.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.1. Source: https://www.ecfr.gov/current/title-49/section-390.1,true,
t49_sec_390_3,fmcsa_fmcsr,title49.motorcarrier.applicability,1,General applicability.,49 CFR 390.3,Mapping level candidate for 49 CFR 390.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.3. Source: https://www.ecfr.gov/current/title-49/section-390.3,true,
t49_sec_390_3t,fmcsa_fmcsr,title49.motorcarrier.applicability,1,General applicability.,49 CFR 390.3T,Mapping level candidate for 49 CFR 390.3T. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.3T. Source: https://www.ecfr.gov/current/title-49/section-390.3T,true,
t49_sec_390_4,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Delegations and redelegations of authority of FMCSA employees to perform assigned actions or duties.,49 CFR 390.4,Mapping level candidate for 49 CFR 390.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.4. Source: https://www.ecfr.gov/current/title-49/section-390.4,true,
t49_sec_390_5,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Definitions.,49 CFR 390.5,Mapping level candidate for 49 CFR 390.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.5. Source: https://www.ecfr.gov/current/title-49/section-390.5,true,
t49_sec_390_5t,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Definitions.,49 CFR 390.5T,Mapping level candidate for 49 CFR 390.5T. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.5T. Source: https://www.ecfr.gov/current/title-49/section-390.5T,true,
t49_sec_390_6,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Coercion prohibited.,49 CFR 390.6,Mapping level candidate for 49 CFR 390.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.6. Source: https://www.ecfr.gov/current/title-49/section-390.6,true,
t49_sec_390_7,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Rules of construction.,49 CFR 390.7,Mapping level candidate for 49 CFR 390.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.7. Source: https://www.ecfr.gov/current/title-49/section-390.7,true,
t49_sec_390_8,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Separation of functions.,49 CFR 390.8,Mapping level candidate for 49 CFR 390.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart A > 49 CFR 390.8. Source: https://www.ecfr.gov/current/title-49/section-390.8,true,
t49_subpart_390_b,fmcsa_fmcsr,title49.motorcarrier.applicability,1,General Requirements and Information,49 CFR Part 390 Subpart B,Mapping level candidate for 49 CFR Part 390 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-390/subpart-B,true,
t49_sec_390_9,fmcsa_fmcsr,title49.motorcarrier.applicability,1,"State and local laws, effect on.",49 CFR 390.9,Mapping level candidate for 49 CFR 390.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.9. Source: https://www.ecfr.gov/current/title-49/section-390.9,true,
t49_sec_390_11,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Motor carrier to require observance of driver regulations.,49 CFR 390.11,Mapping level candidate for 49 CFR 390.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.11. Source: https://www.ecfr.gov/current/title-49/section-390.11,true,
t49_sec_390_13,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Aiding or abetting violations.,49 CFR 390.13,Mapping level candidate for 49 CFR 390.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.13. Source: https://www.ecfr.gov/current/title-49/section-390.13,true,
t49_sec_390_16,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Sec. 390.16 [Reserved],49 CFR 390.16,Mapping level candidate for 49 CFR 390.16. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.16. Source: https://www.ecfr.gov/current/title-49/section-390.16,false,
t49_sec_390_17,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Additional equipment and accessories.,49 CFR 390.17,Mapping level candidate for 49 CFR 390.17. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.17. Source: https://www.ecfr.gov/current/title-49/section-390.17,true,
t49_sec_390_19,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Motor carrier identification reports for certain Mexico-domiciled motor carriers.,49 CFR 390.19,Mapping level candidate for 49 CFR 390.19. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.19. Source: https://www.ecfr.gov/current/title-49/section-390.19,true,
t49_sec_390_19t,fmcsa_fmcsr,title49.motorcarrier.applicability,1,"Motor carrier, hazardous material safety permit applicant/holder, and intermodal equipment provider identification reports.",49 CFR 390.19T,Mapping level candidate for 49 CFR 390.19T. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.19T. Source: https://www.ecfr.gov/current/title-49/section-390.19T,true,
t49_sec_390_21,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Marking of self-propelled CMVs and intermodal equipment.,49 CFR 390.21,Mapping level candidate for 49 CFR 390.21. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.21. Source: https://www.ecfr.gov/current/title-49/section-390.21,true,
t49_sec_390_21t,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Marking of self-propelled CMVs and intermodal equipment.,49 CFR 390.21T,Mapping level candidate for 49 CFR 390.21T. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.21T. Source: https://www.ecfr.gov/current/title-49/section-390.21T,true,
t49_sec_390_23,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Automatic relief from regulations.,49 CFR 390.23,Mapping level candidate for 49 CFR 390.23. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.23. Source: https://www.ecfr.gov/current/title-49/section-390.23,true,
t49_sec_390_25,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Extension or Modification of relief from regulations-emergencies.,49 CFR 390.25,Mapping level candidate for 49 CFR 390.25. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.25. Source: https://www.ecfr.gov/current/title-49/section-390.25,true,
t49_sec_390_27,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Locations of motor carrier safety service centers.,49 CFR 390.27,Mapping level candidate for 49 CFR 390.27. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.27. Source: https://www.ecfr.gov/current/title-49/section-390.27,true,
t49_sec_390_29,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Location of records or documents.,49 CFR 390.29,Mapping level candidate for 49 CFR 390.29. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.29. Source: https://www.ecfr.gov/current/title-49/section-390.29,true,
t49_sec_390_31,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Copies of records and documents.,49 CFR 390.31,Mapping level candidate for 49 CFR 390.31. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.31. Source: https://www.ecfr.gov/current/title-49/section-390.31,true,
t49_sec_390_32,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Electronic documents and signatures.,49 CFR 390.32,Mapping level candidate for 49 CFR 390.32. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.32. Source: https://www.ecfr.gov/current/title-49/section-390.32,true,
t49_sec_390_33,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Commercial motor vehicles used for purposes other than defined.,49 CFR 390.33,Mapping level candidate for 49 CFR 390.33. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.33. Source: https://www.ecfr.gov/current/title-49/section-390.33,true,
t49_sec_390_35,fmcsa_fmcsr,title49.motorcarrier.applicability,1,"Certificates, reports, and records: Falsification, reproduction, or alteration.",49 CFR 390.35,Mapping level candidate for 49 CFR 390.35. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.35. Source: https://www.ecfr.gov/current/title-49/section-390.35,true,
t49_sec_390_36,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Harassment of drivers prohibited.,49 CFR 390.36,Mapping level candidate for 49 CFR 390.36. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.36. Source: https://www.ecfr.gov/current/title-49/section-390.36,true,
t49_sec_390_37,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Violation and penalty.,49 CFR 390.37,Mapping level candidate for 49 CFR 390.37. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.37. Source: https://www.ecfr.gov/current/title-49/section-390.37,true,
t49_sec_390_38,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Exemptions for pipeline welding trucks.,49 CFR 390.38,Mapping level candidate for 49 CFR 390.38. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.38. Source: https://www.ecfr.gov/current/title-49/section-390.38,true,
t49_sec_390_39,fmcsa_fmcsr,title49.motorcarrier.applicability,1,"Exemptions for ""covered farm vehicles.""",49 CFR 390.39,Mapping level candidate for 49 CFR 390.39. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart B > 49 CFR 390.39. Source: https://www.ecfr.gov/current/title-49/section-390.39,true,
t49_subpart_390_f,fmcsa_fmcsr,title49.motorcarrier.applicability,1,Subpart F [Reserved],49 CFR Part 390 Subpart F,Mapping level candidate for 49 CFR Part 390 Subpart F. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart F. Source: https://www.ecfr.gov/current/title-49/part-390/subpart-F,false,
