mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_motorcarrier_insurance_financial_responsibi_318697cb,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_part_387,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR Part 387,Maps 49 CFR Part 387 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_f7b9313b,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_subpart_387_a,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR Part 387 Subpart A,Maps 49 CFR Part 387 Subpart A to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_f05700f1,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_1,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.1,Maps 49 CFR 387.1 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_3f3bbb2c,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_3,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.3,Maps 49 CFR 387.3 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_b27aa65a,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_5,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.5,Maps 49 CFR 387.5 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_ec7ef448,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_7,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.7,Maps 49 CFR 387.7 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_e2aa49a2,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_9,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.9,Maps 49 CFR 387.9 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_d4c4dd1b,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_11,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.11,Maps 49 CFR 387.11 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_c0c28f7f,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_13,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.13,Maps 49 CFR 387.13 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_1b2b68eb,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_15,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.15,Maps 49 CFR 387.15 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_c6757581,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_17,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.17,Maps 49 CFR 387.17 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
map_title49_motorcarrier_insurance_financial_responsibi_a24c703e,compliance_key,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,t49_sec_387_19,ck_t49_motorcarrier_insurance_financial_responsibility,,,Title 49 Motor Carrier Financial Responsibility to 49 CFR 387.19,Maps 49 CFR 387.19 to title49.motorcarrier.insurance_financial_responsibility (operational).,true
