citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_387,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Minimum Levels of Financial Responsibility for Motor Carriers,49 CFR Part 387,Mapping level candidate for 49 CFR Part 387. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387. Source: https://www.ecfr.gov/current/title-49/part-387,true,
t49_subpart_387_a,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Motor Carriers of Property,49 CFR Part 387 Subpart A,Mapping level candidate for 49 CFR Part 387 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-387/subpart-A,true,
t49_sec_387_1,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Purpose and scope.,49 CFR 387.1,Mapping level candidate for 49 CFR 387.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.1. Source: https://www.ecfr.gov/current/title-49/section-387.1,true,
t49_sec_387_3,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Applicability.,49 CFR 387.3,Mapping level candidate for 49 CFR 387.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.3. Source: https://www.ecfr.gov/current/title-49/section-387.3,true,
t49_sec_387_5,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Definitions.,49 CFR 387.5,Mapping level candidate for 49 CFR 387.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.5. Source: https://www.ecfr.gov/current/title-49/section-387.5,true,
t49_sec_387_7,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Financial responsibility required.,49 CFR 387.7,Mapping level candidate for 49 CFR 387.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.7. Source: https://www.ecfr.gov/current/title-49/section-387.7,true,
t49_sec_387_9,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,"Financial responsibility, minimum levels.",49 CFR 387.9,Mapping level candidate for 49 CFR 387.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.9. Source: https://www.ecfr.gov/current/title-49/section-387.9,true,
t49_sec_387_11,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,State authority and designation of agent.,49 CFR 387.11,Mapping level candidate for 49 CFR 387.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.11. Source: https://www.ecfr.gov/current/title-49/section-387.11,true,
t49_sec_387_13,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Fiduciaries.,49 CFR 387.13,Mapping level candidate for 49 CFR 387.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.13. Source: https://www.ecfr.gov/current/title-49/section-387.13,true,
t49_sec_387_15,fmcsa_fmcsr,title49.motorcarrier.insurance_financial_responsibility,1,Forms.,49 CFR 387.15,Mapping level candidate for 49 CFR 387.15. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 387 > 49 CFR Part 387 Subpart A > 49 CFR 387.15. Source: https://www.ecfr.gov/current/title-49/section-387.15,true,
