mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_motorcarrier_registration_authority_t49_part_365,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_365,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR Part 365,Maps 49 CFR Part 365 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_part_366,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_366,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR Part 366,Maps 49 CFR Part 366 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_part_367,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_367,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR Part 367,Maps 49 CFR Part 367 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_part_368,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_368,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR Part 368,Maps 49 CFR Part 368 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sub_da12be02,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_subpart_390_e_suspended,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR Part 390 Subpart E-suspended,Maps 49 CFR Part 390 Subpart E-suspended to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sec_390_200t,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_sec_390_200t,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR 390.200T,Maps 49 CFR 390.200T to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sec_390_201,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_sec_390_201,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR 390.201,Maps 49 CFR 390.201 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sec_390_203,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_sec_390_203,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR 390.203,Maps 49 CFR 390.203 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sec_390_205,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_sec_390_205,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR 390.205,Maps 49 CFR 390.205 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sec_390_207,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_sec_390_207,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR 390.207,Maps 49 CFR 390.207 to title49.motorcarrier.registration_authority (operational).,true
map_title49_motorcarrier_registration_authority_t49_sec_390_209,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_sec_390_209,ck_t49_motorcarrier_registration_authority,,,Title 49 Motor Carrier Registration and Authority to 49 CFR 390.209,Maps 49 CFR 390.209 to title49.motorcarrier.registration_authority (operational).,true
map_fact_title49_motorcarrier_registration_authority_t4_c09ae269,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_365,ck_t49_motorcarrier_registration_authority,,t49_mc_authority_active,Title 49 Motor Carrier Registration and Authority fact Operating authority active,"Carrier authority is active for the operation. products=StaffArr,RoutArr; entities=carrier,authority_record; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_motorcarrier_registration_authority_t4_b51d10f0,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_366,ck_t49_motorcarrier_registration_authority,,t49_mc_process_agent_designated,Title 49 Motor Carrier Registration and Authority fact Process agent designated,"BOC-3/process-agent designation is recorded. products=StaffArr; entities=carrier,registration; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_motorcarrier_registration_authority_t4_b7ef7c23,compliance_key,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,t49_part_367,ck_t49_motorcarrier_registration_authority,,t49_mc_registration_current,Title 49 Motor Carrier Registration and Authority fact Registration current,"State or unified registration evidence is current. products=StaffArr,RoutArr; entities=carrier,registration; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=major; automatic_failure=false; override_allowed=true.",true
