citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_365,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Rules Governing Applications for Operating Authority,49 CFR Part 365,Mapping level candidate for 49 CFR Part 365. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 365. Source: https://www.ecfr.gov/current/title-49/part-365,true,
t49_part_366,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Designation of Process Agent,49 CFR Part 366,Mapping level candidate for 49 CFR Part 366. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 366. Source: https://www.ecfr.gov/current/title-49/part-366,true,
t49_part_367,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Standards for Registration with States,49 CFR Part 367,Mapping level candidate for 49 CFR Part 367. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 367. Source: https://www.ecfr.gov/current/title-49/part-367,true,
t49_part_368,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Application for a Certificate of Registration to Operate in Municipalities in the United States on the United States-Mexico I...,49 CFR Part 368,Mapping level candidate for 49 CFR Part 368. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 368. Source: https://www.ecfr.gov/current/title-49/part-368,true,
t49_subpart_390_e_suspended,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Unified Registration System,49 CFR Part 390 Subpart E-suspended,Mapping level candidate for 49 CFR Part 390 Subpart E-suspended. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended. Source: https://www.ecfr.gov/current/title-49/part-390/subpart-E-suspended,true,
t49_sec_390_200t,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,USDOT Registration.,49 CFR 390.200T,Mapping level candidate for 49 CFR 390.200T. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended > 49 CFR 390.200T. Source: https://www.ecfr.gov/current/title-49/section-390.200T,true,
t49_sec_390_201,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,USDOT Registration.,49 CFR 390.201,Mapping level candidate for 49 CFR 390.201. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended > 49 CFR 390.201. Source: https://www.ecfr.gov/current/title-49/section-390.201,true,
t49_sec_390_203,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,PRISM State registration/biennial updates.,49 CFR 390.203,Mapping level candidate for 49 CFR 390.203. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended > 49 CFR 390.203. Source: https://www.ecfr.gov/current/title-49/section-390.203,true,
t49_sec_390_205,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Special requirements for registration.,49 CFR 390.205,Mapping level candidate for 49 CFR 390.205. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended > 49 CFR 390.205. Source: https://www.ecfr.gov/current/title-49/section-390.205,true,
t49_sec_390_207,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Other governing regulations.,49 CFR 390.207,Mapping level candidate for 49 CFR 390.207. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended > 49 CFR 390.207. Source: https://www.ecfr.gov/current/title-49/section-390.207,true,
t49_sec_390_209,fmcsa_fmcsr,title49.motorcarrier.registration_authority,1,Pre-authorization safety audit.,49 CFR 390.209,Mapping level candidate for 49 CFR 390.209. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 390 > 49 CFR Part 390 Subpart E-suspended > 49 CFR 390.209. Source: https://www.ecfr.gov/current/title-49/section-390.209,true,
