citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_384,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,State Compliance with Commercial Driver's License Program,49 CFR Part 384,Mapping level candidate for 49 CFR Part 384. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384. Source: https://www.ecfr.gov/current/title-49/part-384,true,
t49_subpart_384_a,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,General,49 CFR Part 384 Subpart A,Mapping level candidate for 49 CFR Part 384 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-384/subpart-A,true,
t49_sec_384_101,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Purpose and scope.,49 CFR 384.101,Mapping level candidate for 49 CFR 384.101. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart A > 49 CFR 384.101. Source: https://www.ecfr.gov/current/title-49/section-384.101,true,
t49_sec_384_103,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Applicability.,49 CFR 384.103,Mapping level candidate for 49 CFR 384.103. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart A > 49 CFR 384.103. Source: https://www.ecfr.gov/current/title-49/section-384.103,true,
t49_sec_384_105,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Definitions.,49 CFR 384.105,Mapping level candidate for 49 CFR 384.105. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart A > 49 CFR 384.105. Source: https://www.ecfr.gov/current/title-49/section-384.105,true,
t49_sec_384_107,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Matter incorporated by reference.,49 CFR 384.107,Mapping level candidate for 49 CFR 384.107. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart A > 49 CFR 384.107. Source: https://www.ecfr.gov/current/title-49/section-384.107,true,
t49_subpart_384_b,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Minimum Standards for Substantial Compliance by States,49 CFR Part 384 Subpart B,Mapping level candidate for 49 CFR Part 384 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-384/subpart-B,true,
t49_sec_384_201,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Testing program.,49 CFR 384.201,Mapping level candidate for 49 CFR 384.201. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart B > 49 CFR 384.201. Source: https://www.ecfr.gov/current/title-49/section-384.201,true,
t49_sec_384_202,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Test standards.,49 CFR 384.202,Mapping level candidate for 49 CFR 384.202. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart B > 49 CFR 384.202. Source: https://www.ecfr.gov/current/title-49/section-384.202,true,
t49_sec_384_203,fmcsa_fmcsr,title49.motorcarrier.safety_fitness_proceedings_reference,1,Driving while under the influence.,49 CFR 384.203,Mapping level candidate for 49 CFR 384.203. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 384 > 49 CFR Part 384 Subpart B > 49 CFR 384.203. Source: https://www.ecfr.gov/current/title-49/section-384.203,true,
