mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_nhtsa_vehicle_standards_reference_t49_part_500,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_part_500,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR Part 500,Maps 49 CFR Part 500 to title49.nhtsa.vehicle_standards_reference (reference).,false
map_title49_nhtsa_vehicle_standards_reference_t49_part_501,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_part_501,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR Part 501,Maps 49 CFR Part 501 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_1,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_1,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.1,Maps 49 CFR 501.1 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_2,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_2,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.2,Maps 49 CFR 501.2 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_3,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_3,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.3,Maps 49 CFR 501.3 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_4,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_4,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.4,Maps 49 CFR 501.4 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_5,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_5,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.5,Maps 49 CFR 501.5 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_6,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_6,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.6,Maps 49 CFR 501.6 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_7,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_7,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.7,Maps 49 CFR 501.7 to title49.nhtsa.vehicle_standards_reference (reference).,true
map_title49_nhtsa_vehicle_standards_reference_t49_sec_501_8,compliance_key,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,t49_sec_501_8,ck_t49_nhtsa_vehicle_standards_reference,,,Title 49 NHTSA Vehicle Standards Reference to 49 CFR 501.8,Maps 49 CFR 501.8 to title49.nhtsa.vehicle_standards_reference (reference).,true
