citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_500,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Part 500 [Reserved],49 CFR Part 500,Mapping level candidate for 49 CFR Part 500. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 500. Source: https://www.ecfr.gov/current/title-49/part-500,false,
t49_part_501,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Organization and Delegation of Powers and Duties,49 CFR Part 501,Mapping level candidate for 49 CFR Part 501. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501. Source: https://www.ecfr.gov/current/title-49/part-501,true,
t49_sec_501_1,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Purpose.,49 CFR 501.1,Mapping level candidate for 49 CFR 501.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.1. Source: https://www.ecfr.gov/current/title-49/section-501.1,true,
t49_sec_501_2,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,General.,49 CFR 501.2,Mapping level candidate for 49 CFR 501.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.2. Source: https://www.ecfr.gov/current/title-49/section-501.2,true,
t49_sec_501_3,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Organization and general responsibilities.,49 CFR 501.3,Mapping level candidate for 49 CFR 501.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.3. Source: https://www.ecfr.gov/current/title-49/section-501.3,true,
t49_sec_501_4,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Succession to Administrator.,49 CFR 501.4,Mapping level candidate for 49 CFR 501.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.4. Source: https://www.ecfr.gov/current/title-49/section-501.4,true,
t49_sec_501_5,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Exercise of authority.,49 CFR 501.5,Mapping level candidate for 49 CFR 501.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.5. Source: https://www.ecfr.gov/current/title-49/section-501.5,true,
t49_sec_501_6,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Secretary's reservations of authority.,49 CFR 501.6,Mapping level candidate for 49 CFR 501.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.6. Source: https://www.ecfr.gov/current/title-49/section-501.6,true,
t49_sec_501_7,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Administrator's reservations of authority.,49 CFR 501.7,Mapping level candidate for 49 CFR 501.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.7. Source: https://www.ecfr.gov/current/title-49/section-501.7,true,
t49_sec_501_8,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Delegations.,49 CFR 501.8,Mapping level candidate for 49 CFR 501.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 501 > 49 CFR 501.8. Source: https://www.ecfr.gov/current/title-49/section-501.8,true,
t49_part_509,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,OMB Control Numbers for Information Collection Requirements,49 CFR Part 509,Mapping level candidate for 49 CFR Part 509. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 509. Source: https://www.ecfr.gov/current/title-49/part-509,true,
t49_sec_509_1,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Purpose.,49 CFR 509.1,Mapping level candidate for 49 CFR 509.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 509 > 49 CFR 509.1. Source: https://www.ecfr.gov/current/title-49/section-509.1,true,
t49_sec_509_2,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Display.,49 CFR 509.2,Mapping level candidate for 49 CFR 509.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 509 > 49 CFR 509.2. Source: https://www.ecfr.gov/current/title-49/section-509.2,true,
t49_part_510,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Information Gathering Powers,49 CFR Part 510,Mapping level candidate for 49 CFR Part 510. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510. Source: https://www.ecfr.gov/current/title-49/part-510,true,
t49_sec_510_1,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Scope and purpose.,49 CFR 510.1,Mapping level candidate for 49 CFR 510.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.1. Source: https://www.ecfr.gov/current/title-49/section-510.1,true,
t49_sec_510_2,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Definitions.,49 CFR 510.2,Mapping level candidate for 49 CFR 510.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.2. Source: https://www.ecfr.gov/current/title-49/section-510.2,true,
t49_sec_510_3,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,"Compulsory process, the service thereof, claims for confidential treatment, and terms of compliance.",49 CFR 510.3,Mapping level candidate for 49 CFR 510.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.3. Source: https://www.ecfr.gov/current/title-49/section-510.3,true,
t49_sec_510_4,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,"Subpoenas, generally.",49 CFR 510.4,Mapping level candidate for 49 CFR 510.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.4. Source: https://www.ecfr.gov/current/title-49/section-510.4,true,
t49_sec_510_5,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Information gathering hearings.,49 CFR 510.5,Mapping level candidate for 49 CFR 510.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.5. Source: https://www.ecfr.gov/current/title-49/section-510.5,true,
t49_sec_510_6,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Administrative depositions.,49 CFR 510.6,Mapping level candidate for 49 CFR 510.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.6. Source: https://www.ecfr.gov/current/title-49/section-510.6,true,
t49_sec_510_7,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,General or special orders.,49 CFR 510.7,Mapping level candidate for 49 CFR 510.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.7. Source: https://www.ecfr.gov/current/title-49/section-510.7,true,
t49_sec_510_8,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,Written requests for the production of documents and things.,49 CFR 510.8,Mapping level candidate for 49 CFR 510.8. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.8. Source: https://www.ecfr.gov/current/title-49/section-510.8,true,
t49_sec_510_9,nhtsa_vehicle,title49.nhtsa.vehicle_standards_reference,1,"Motions to modify, limit, or quash process.",49 CFR 510.9,Mapping level candidate for 49 CFR 510.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter V > 49 CFR Part 510 > 49 CFR 510.9. Source: https://www.ecfr.gov/current/title-49/section-510.9,true,
