citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_190,phmsa_pipeline,title49.pipeline.safety_reference,1,Pipeline Safety Enforcement and Regulatory Procedures,49 CFR Part 190,Mapping level candidate for 49 CFR Part 190. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190. Source: https://www.ecfr.gov/current/title-49/part-190,true,
t49_subpart_190_a,phmsa_pipeline,title49.pipeline.safety_reference,1,General,49 CFR Part 190 Subpart A,Mapping level candidate for 49 CFR Part 190 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-190/subpart-A,true,
t49_sec_190_1,phmsa_pipeline,title49.pipeline.safety_reference,1,Purpose and scope.,49 CFR 190.1,Mapping level candidate for 49 CFR 190.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.1. Source: https://www.ecfr.gov/current/title-49/section-190.1,true,
t49_sec_190_3,phmsa_pipeline,title49.pipeline.safety_reference,1,Definitions.,49 CFR 190.3,Mapping level candidate for 49 CFR 190.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.3. Source: https://www.ecfr.gov/current/title-49/section-190.3,true,
t49_sec_190_5,phmsa_pipeline,title49.pipeline.safety_reference,1,Service.,49 CFR 190.5,Mapping level candidate for 49 CFR 190.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.5. Source: https://www.ecfr.gov/current/title-49/section-190.5,true,
t49_sec_190_7,phmsa_pipeline,title49.pipeline.safety_reference,1,Subpoenas; witness fees.,49 CFR 190.7,Mapping level candidate for 49 CFR 190.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.7. Source: https://www.ecfr.gov/current/title-49/section-190.7,true,
t49_sec_190_9,phmsa_pipeline,title49.pipeline.safety_reference,1,Petitions for finding or approval.,49 CFR 190.9,Mapping level candidate for 49 CFR 190.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.9. Source: https://www.ecfr.gov/current/title-49/section-190.9,true,
t49_sec_190_11,phmsa_pipeline,title49.pipeline.safety_reference,1,Availability of informal guidance and interpretive assistance.,49 CFR 190.11,Mapping level candidate for 49 CFR 190.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.11. Source: https://www.ecfr.gov/current/title-49/section-190.11,true,
t49_sec_190_13,phmsa_pipeline,title49.pipeline.safety_reference,1,Declaratory orders.,49 CFR 190.13,Mapping level candidate for 49 CFR 190.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart A > 49 CFR 190.13. Source: https://www.ecfr.gov/current/title-49/section-190.13,true,
t49_subpart_190_b,phmsa_pipeline,title49.pipeline.safety_reference,1,Enforcement,49 CFR Part 190 Subpart B,Mapping level candidate for 49 CFR Part 190 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-190/subpart-B,true,
t49_sec_190_201,phmsa_pipeline,title49.pipeline.safety_reference,1,Purpose and scope.,49 CFR 190.201,Mapping level candidate for 49 CFR 190.201. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.201. Source: https://www.ecfr.gov/current/title-49/section-190.201,true,
t49_sec_190_203,phmsa_pipeline,title49.pipeline.safety_reference,1,Inspections and investigations.,49 CFR 190.203,Mapping level candidate for 49 CFR 190.203. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.203. Source: https://www.ecfr.gov/current/title-49/section-190.203,true,
t49_sec_190_205,phmsa_pipeline,title49.pipeline.safety_reference,1,Warnings.,49 CFR 190.205,Mapping level candidate for 49 CFR 190.205. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.205. Source: https://www.ecfr.gov/current/title-49/section-190.205,true,
t49_sec_190_206,phmsa_pipeline,title49.pipeline.safety_reference,1,Amendment of plans or procedures.,49 CFR 190.206,Mapping level candidate for 49 CFR 190.206. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.206. Source: https://www.ecfr.gov/current/title-49/section-190.206,true,
t49_sec_190_207,phmsa_pipeline,title49.pipeline.safety_reference,1,Notice of probable violation.,49 CFR 190.207,Mapping level candidate for 49 CFR 190.207. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.207. Source: https://www.ecfr.gov/current/title-49/section-190.207,true,
t49_sec_190_208,phmsa_pipeline,title49.pipeline.safety_reference,1,Response options.,49 CFR 190.208,Mapping level candidate for 49 CFR 190.208. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.208. Source: https://www.ecfr.gov/current/title-49/section-190.208,true,
t49_sec_190_209,phmsa_pipeline,title49.pipeline.safety_reference,1,Case file.,49 CFR 190.209,Mapping level candidate for 49 CFR 190.209. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.209. Source: https://www.ecfr.gov/current/title-49/section-190.209,true,
t49_sec_190_210,phmsa_pipeline,title49.pipeline.safety_reference,1,Separation of functions.,49 CFR 190.210,Mapping level candidate for 49 CFR 190.210. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.210. Source: https://www.ecfr.gov/current/title-49/section-190.210,true,
t49_sec_190_211,phmsa_pipeline,title49.pipeline.safety_reference,1,Hearing.,49 CFR 190.211,Mapping level candidate for 49 CFR 190.211. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.211. Source: https://www.ecfr.gov/current/title-49/section-190.211,true,
t49_sec_190_212,phmsa_pipeline,title49.pipeline.safety_reference,1,"Presiding official, powers, and duties.",49 CFR 190.212,Mapping level candidate for 49 CFR 190.212. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.212. Source: https://www.ecfr.gov/current/title-49/section-190.212,true,
t49_sec_190_213,phmsa_pipeline,title49.pipeline.safety_reference,1,Final order.,49 CFR 190.213,Mapping level candidate for 49 CFR 190.213. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.213. Source: https://www.ecfr.gov/current/title-49/section-190.213,true,
t49_sec_190_215,phmsa_pipeline,title49.pipeline.safety_reference,1,Sec. 190.215 [Reserved],49 CFR 190.215,Mapping level candidate for 49 CFR 190.215. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter I > 49 CFR Subchapter D > 49 CFR Part 190 > 49 CFR Part 190 Subpart B > 49 CFR 190.215. Source: https://www.ecfr.gov/current/title-49/section-190.215,false,
