mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_rail_safety_reference_t49_part_200,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_part_200,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR Part 200,Maps 49 CFR Part 200 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_1,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_1,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.1,Maps 49 CFR 200.1 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_3,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_3,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.3,Maps 49 CFR 200.3 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_5,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_5,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.5,Maps 49 CFR 200.5 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_7,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_7,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.7,Maps 49 CFR 200.7 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_9,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_9,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.9,Maps 49 CFR 200.9 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_11,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_11,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.11,Maps 49 CFR 200.11 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_200_13,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_200_13,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 200.13,Maps 49 CFR 200.13 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_part_201,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_part_201,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR Part 201,Maps 49 CFR Part 201 to title49.rail.safety_reference (reference).,false
map_title49_rail_safety_reference_t49_part_207,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_part_207,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR Part 207,Maps 49 CFR Part 207 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_1,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_1,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.1,Maps 49 CFR 207.1 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_2,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_2,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.2,Maps 49 CFR 207.2 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_3,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_3,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.3,Maps 49 CFR 207.3 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_4,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_4,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.4,Maps 49 CFR 207.4 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_5,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_5,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.5,Maps 49 CFR 207.5 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_6,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_6,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.6,Maps 49 CFR 207.6 to title49.rail.safety_reference (reference).,true
map_title49_rail_safety_reference_t49_sec_207_7,compliance_key,fra_rail,title49.rail.safety_reference,1,t49_sec_207_7,ck_t49_rail_safety_reference,,,Title 49 Rail Safety Reference to 49 CFR 207.7,Maps 49 CFR 207.7 to title49.rail.safety_reference (reference).,true
