citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_200,fra_rail,title49.rail.safety_reference,1,Informal Rules of Practice for Passenger Service,49 CFR Part 200,Mapping level candidate for 49 CFR Part 200. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200. Source: https://www.ecfr.gov/current/title-49/part-200,true,
t49_sec_200_1,fra_rail,title49.rail.safety_reference,1,General.,49 CFR 200.1,Mapping level candidate for 49 CFR 200.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.1. Source: https://www.ecfr.gov/current/title-49/section-200.1,true,
t49_sec_200_3,fra_rail,title49.rail.safety_reference,1,Definitions.,49 CFR 200.3,Mapping level candidate for 49 CFR 200.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.3. Source: https://www.ecfr.gov/current/title-49/section-200.3,true,
t49_sec_200_5,fra_rail,title49.rail.safety_reference,1,Applications.,49 CFR 200.5,Mapping level candidate for 49 CFR 200.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.5. Source: https://www.ecfr.gov/current/title-49/section-200.5,true,
t49_sec_200_7,fra_rail,title49.rail.safety_reference,1,Objections.,49 CFR 200.7,Mapping level candidate for 49 CFR 200.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.7. Source: https://www.ecfr.gov/current/title-49/section-200.7,true,
t49_sec_200_9,fra_rail,title49.rail.safety_reference,1,Hearings.,49 CFR 200.9,Mapping level candidate for 49 CFR 200.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.9. Source: https://www.ecfr.gov/current/title-49/section-200.9,true,
t49_sec_200_11,fra_rail,title49.rail.safety_reference,1,"Orders, approvals, and determinations.",49 CFR 200.11,Mapping level candidate for 49 CFR 200.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.11. Source: https://www.ecfr.gov/current/title-49/section-200.11,true,
t49_sec_200_13,fra_rail,title49.rail.safety_reference,1,Publication.,49 CFR 200.13,Mapping level candidate for 49 CFR 200.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 200 > 49 CFR 200.13. Source: https://www.ecfr.gov/current/title-49/section-200.13,true,
t49_part_201,fra_rail,title49.rail.safety_reference,1,Part 201 [Reserved],49 CFR Part 201,Mapping level candidate for 49 CFR Part 201. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 201. Source: https://www.ecfr.gov/current/title-49/part-201,false,
t49_part_207,fra_rail,title49.rail.safety_reference,1,Railroad Police Officers,49 CFR Part 207,Mapping level candidate for 49 CFR Part 207. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207. Source: https://www.ecfr.gov/current/title-49/part-207,true,
t49_sec_207_1,fra_rail,title49.rail.safety_reference,1,Application.,49 CFR 207.1,Mapping level candidate for 49 CFR 207.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.1. Source: https://www.ecfr.gov/current/title-49/section-207.1,true,
t49_sec_207_2,fra_rail,title49.rail.safety_reference,1,Definitions.,49 CFR 207.2,Mapping level candidate for 49 CFR 207.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.2. Source: https://www.ecfr.gov/current/title-49/section-207.2,true,
t49_sec_207_3,fra_rail,title49.rail.safety_reference,1,Designation and commissioning.,49 CFR 207.3,Mapping level candidate for 49 CFR 207.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.3. Source: https://www.ecfr.gov/current/title-49/section-207.3,true,
t49_sec_207_4,fra_rail,title49.rail.safety_reference,1,Notice to State officials.,49 CFR 207.4,Mapping level candidate for 49 CFR 207.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.4. Source: https://www.ecfr.gov/current/title-49/section-207.4,true,
t49_sec_207_5,fra_rail,title49.rail.safety_reference,1,Authority in States where officer not commissioned.,49 CFR 207.5,Mapping level candidate for 49 CFR 207.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.5. Source: https://www.ecfr.gov/current/title-49/section-207.5,true,
t49_sec_207_6,fra_rail,title49.rail.safety_reference,1,Transfers.,49 CFR 207.6,Mapping level candidate for 49 CFR 207.6. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.6. Source: https://www.ecfr.gov/current/title-49/section-207.6,true,
t49_sec_207_7,fra_rail,title49.rail.safety_reference,1,Training.,49 CFR 207.7,Mapping level candidate for 49 CFR 207.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter II > 49 CFR Part 207 > 49 CFR 207.7. Source: https://www.ecfr.gov/current/title-49/section-207.7,true,
