mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_stb_surface_transportation_reference_t49_part_1000,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_part_1000,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR Part 1000,Maps 49 CFR Part 1000 to title49.stb.surface_transportation_reference (reference).,false
map_title49_stb_surface_transportation_reference_t49_part_1001,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_part_1001,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR Part 1001,Maps 49 CFR Part 1001 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1001_1,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1001_1,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1001.1,Maps 49 CFR 1001.1 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1001_2,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1001_2,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1001.2,Maps 49 CFR 1001.2 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1001_3,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1001_3,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1001.3,Maps 49 CFR 1001.3 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1001_4,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1001_4,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1001.4,Maps 49 CFR 1001.4 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_part_1002,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_part_1002,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR Part 1002,Maps 49 CFR Part 1002 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1002_1,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1002_1,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1002.1,Maps 49 CFR 1002.1 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1002_2,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1002_2,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1002.2,Maps 49 CFR 1002.2 to title49.stb.surface_transportation_reference (reference).,true
map_title49_stb_surface_transportation_reference_t49_sec_1002_3,compliance_key,stb_surface,title49.stb.surface_transportation_reference,1,t49_sec_1002_3,ck_t49_stb_surface_transportation_reference,,,Title 49 STB Surface Transportation Reference to 49 CFR 1002.3,Maps 49 CFR 1002.3 to title49.stb.surface_transportation_reference (reference).,true
