citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_1000,stb_surface,title49.stb.surface_transportation_reference,1,Part 1000 [Reserved],49 CFR Part 1000,Mapping level candidate for 49 CFR Part 1000. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1000. Source: https://www.ecfr.gov/current/title-49/part-1000,false,
t49_part_1001,stb_surface,title49.stb.surface_transportation_reference,1,Inspection of Records,49 CFR Part 1001,Mapping level candidate for 49 CFR Part 1001. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1001. Source: https://www.ecfr.gov/current/title-49/part-1001,true,
t49_sec_1001_1,stb_surface,title49.stb.surface_transportation_reference,1,Records available from the Board.,49 CFR 1001.1,Mapping level candidate for 49 CFR 1001.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1001 > 49 CFR 1001.1. Source: https://www.ecfr.gov/current/title-49/section-1001.1,true,
t49_sec_1001_2,stb_surface,title49.stb.surface_transportation_reference,1,Certified copies of records.,49 CFR 1001.2,Mapping level candidate for 49 CFR 1001.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1001 > 49 CFR 1001.2. Source: https://www.ecfr.gov/current/title-49/section-1001.2,true,
t49_sec_1001_3,stb_surface,title49.stb.surface_transportation_reference,1,Requests to inspect other records not considered public under 5 U.S.C. 552.,49 CFR 1001.3,Mapping level candidate for 49 CFR 1001.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1001 > 49 CFR 1001.3. Source: https://www.ecfr.gov/current/title-49/section-1001.3,true,
t49_sec_1001_4,stb_surface,title49.stb.surface_transportation_reference,1,Predisclosure notification procedures for confidential commercial information.,49 CFR 1001.4,Mapping level candidate for 49 CFR 1001.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1001 > 49 CFR 1001.4. Source: https://www.ecfr.gov/current/title-49/section-1001.4,true,
t49_part_1002,stb_surface,title49.stb.surface_transportation_reference,1,Fees,49 CFR Part 1002,Mapping level candidate for 49 CFR Part 1002. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1002. Source: https://www.ecfr.gov/current/title-49/part-1002,true,
t49_sec_1002_1,stb_surface,title49.stb.surface_transportation_reference,1,"Fees for records search, review, copying, certification, and related services.",49 CFR 1002.1,Mapping level candidate for 49 CFR 1002.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1002 > 49 CFR 1002.1. Source: https://www.ecfr.gov/current/title-49/section-1002.1,true,
t49_sec_1002_2,stb_surface,title49.stb.surface_transportation_reference,1,Filing fees.,49 CFR 1002.2,Mapping level candidate for 49 CFR 1002.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1002 > 49 CFR 1002.2. Source: https://www.ecfr.gov/current/title-49/section-1002.2,true,
t49_sec_1002_3,stb_surface,title49.stb.surface_transportation_reference,1,Updating user fees.,49 CFR 1002.3,Mapping level candidate for 49 CFR 1002.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1002 > 49 CFR 1002.3. Source: https://www.ecfr.gov/current/title-49/section-1002.3,true,
t49_part_1003,stb_surface,title49.stb.surface_transportation_reference,1,Forms,49 CFR Part 1003,Mapping level candidate for 49 CFR Part 1003. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1003. Source: https://www.ecfr.gov/current/title-49/part-1003,true,
t49_sec_1003_1,stb_surface,title49.stb.surface_transportation_reference,1,General information.,49 CFR 1003.1,Mapping level candidate for 49 CFR 1003.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1003 > 49 CFR 1003.1. Source: https://www.ecfr.gov/current/title-49/section-1003.1,true,
t49_part_1004,stb_surface,title49.stb.surface_transportation_reference,1,Interpretations and Routing Regulations,49 CFR Part 1004,Mapping level candidate for 49 CFR Part 1004. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1004. Source: https://www.ecfr.gov/current/title-49/part-1004,true,
t49_sec_1004_1,stb_surface,title49.stb.surface_transportation_reference,1,"Gifts, donations, and hospitality by carriers.",49 CFR 1004.1,Mapping level candidate for 49 CFR 1004.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1004 > 49 CFR 1004.1. Source: https://www.ecfr.gov/current/title-49/section-1004.1,true,
t49_sec_1004_2,stb_surface,title49.stb.surface_transportation_reference,1,"Misrouting, adjustment of claims.",49 CFR 1004.2,Mapping level candidate for 49 CFR 1004.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter X > 49 CFR Subchapter A > 49 CFR Part 1004 > 49 CFR 1004.2. Source: https://www.ecfr.gov/current/title-49/section-1004.2,true,
