mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_transit_safety_reference_t49_part_600,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_part_600,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 600,Maps 49 CFR Part 600 to title49.transit.safety_reference (reference).,false
map_title49_transit_safety_reference_t49_part_601,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_part_601,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 601,Maps 49 CFR Part 601 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_601_a,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_601_a,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 601 Subpart A,Maps 49 CFR Part 601 Subpart A to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_1,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_1,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.1,Maps 49 CFR 601.1 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_2,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_2,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.2,Maps 49 CFR 601.2 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_3,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_3,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.3,Maps 49 CFR 601.3 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_4,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_4,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.4,Maps 49 CFR 601.4 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_601_b,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_601_b,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 601 Subpart B,Maps 49 CFR Part 601 Subpart B to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_10,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_10,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.10,Maps 49 CFR 601.10 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_601_c,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_601_c,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 601 Subpart C,Maps 49 CFR Part 601 Subpart C to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_20,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_20,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.20,Maps 49 CFR 601.20 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_21,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_21,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.21,Maps 49 CFR 601.21 to title49.transit.safety_reference (reference).,false
map_title49_transit_safety_reference_t49_sec_601_22,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_22,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.22,Maps 49 CFR 601.22 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_23,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_23,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.23,Maps 49 CFR 601.23 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_24,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_24,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.24,Maps 49 CFR 601.24 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_25,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_25,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.25,Maps 49 CFR 601.25 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_26,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_26,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.26,Maps 49 CFR 601.26 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_27,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_27,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.27,Maps 49 CFR 601.27 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_28,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_28,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.28,Maps 49 CFR 601.28 to title49.transit.safety_reference (reference).,false
map_title49_transit_safety_reference_t49_sec_601_29,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_29,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.29,Maps 49 CFR 601.29 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_30,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_30,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.30,Maps 49 CFR 601.30 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_31,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_31,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.31,Maps 49 CFR 601.31 to title49.transit.safety_reference (reference).,false
map_title49_transit_safety_reference_t49_sec_601_32,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_32,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.32,Maps 49 CFR 601.32 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_33,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_33,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.33,Maps 49 CFR 601.33 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_34,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_34,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.34,Maps 49 CFR 601.34 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_35,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_35,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.35,Maps 49 CFR 601.35 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_36,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_36,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.36,Maps 49 CFR 601.36 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_601_d,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_601_d,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 601 Subpart D,Maps 49 CFR Part 601 Subpart D to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_40,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_40,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.40,Maps 49 CFR 601.40 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_41,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_41,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.41,Maps 49 CFR 601.41 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_42,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_42,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.42,Maps 49 CFR 601.42 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_43,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_43,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.43,Maps 49 CFR 601.43 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_44,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_44,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.44,Maps 49 CFR 601.44 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_45,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_45,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.45,Maps 49 CFR 601.45 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_46,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_46,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.46,Maps 49 CFR 601.46 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_601_47,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_601_47,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 601.47,Maps 49 CFR 601.47 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_part_602,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_part_602,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 602,Maps 49 CFR Part 602 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_1,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_1,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.1,Maps 49 CFR 602.1 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_3,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_3,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.3,Maps 49 CFR 602.3 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_5,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_5,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.5,Maps 49 CFR 602.5 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_7,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_7,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.7,Maps 49 CFR 602.7 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_9,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_9,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.9,Maps 49 CFR 602.9 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_11,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_11,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.11,Maps 49 CFR 602.11 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_13,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_13,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.13,Maps 49 CFR 602.13 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_15,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_15,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.15,Maps 49 CFR 602.15 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_602_17,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_602_17,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 602.17,Maps 49 CFR 602.17 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_part_604,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_part_604,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 604,Maps 49 CFR Part 604 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_604_a,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_604_a,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 604 Subpart A,Maps 49 CFR Part 604 Subpart A to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_1,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_1,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.1,Maps 49 CFR 604.1 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_2,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_2,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.2,Maps 49 CFR 604.2 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_3,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_3,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.3,Maps 49 CFR 604.3 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_4,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_4,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.4,Maps 49 CFR 604.4 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_604_b,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_604_b,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 604 Subpart B,Maps 49 CFR Part 604 Subpart B to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_5,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_5,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.5,Maps 49 CFR 604.5 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_6,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_6,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.6,Maps 49 CFR 604.6 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_7,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_7,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.7,Maps 49 CFR 604.7 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_8,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_8,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.8,Maps 49 CFR 604.8 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_9,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_9,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.9,Maps 49 CFR 604.9 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_10,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_10,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.10,Maps 49 CFR 604.10 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_11,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_11,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.11,Maps 49 CFR 604.11 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_12,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_12,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.12,Maps 49 CFR 604.12 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_604_c,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_604_c,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 604 Subpart C,Maps 49 CFR Part 604 Subpart C to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_13,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_13,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.13,Maps 49 CFR 604.13 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_14,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_14,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.14,Maps 49 CFR 604.14 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_subpart_604_d,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_subpart_604_d,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR Part 604 Subpart D,Maps 49 CFR Part 604 Subpart D to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_15,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_15,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.15,Maps 49 CFR 604.15 to title49.transit.safety_reference (reference).,true
map_title49_transit_safety_reference_t49_sec_604_16,compliance_key,fta_transit,title49.transit.safety_reference,1,t49_sec_604_16,ck_t49_transit_safety_reference,,,Title 49 Transit Safety Reference to 49 CFR 604.16,Maps 49 CFR 604.16 to title49.transit.safety_reference (reference).,true
