citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_600,fta_transit,title49.transit.safety_reference,1,Part 600 [Reserved],49 CFR Part 600,Mapping level candidate for 49 CFR Part 600. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 600. Source: https://www.ecfr.gov/current/title-49/part-600,false,
t49_part_601,fta_transit,title49.transit.safety_reference,1,"Organization, Functions, and Procedures",49 CFR Part 601,Mapping level candidate for 49 CFR Part 601. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601. Source: https://www.ecfr.gov/current/title-49/part-601,true,
t49_subpart_601_a,fta_transit,title49.transit.safety_reference,1,General Provisions,49 CFR Part 601 Subpart A,Mapping level candidate for 49 CFR Part 601 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-601/subpart-A,true,
t49_sec_601_1,fta_transit,title49.transit.safety_reference,1,Purpose.,49 CFR 601.1,Mapping level candidate for 49 CFR 601.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart A > 49 CFR 601.1. Source: https://www.ecfr.gov/current/title-49/section-601.1,true,
t49_sec_601_2,fta_transit,title49.transit.safety_reference,1,Organization of FTA.,49 CFR 601.2,Mapping level candidate for 49 CFR 601.2. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart A > 49 CFR 601.2. Source: https://www.ecfr.gov/current/title-49/section-601.2,true,
t49_sec_601_3,fta_transit,title49.transit.safety_reference,1,General responsibilities.,49 CFR 601.3,Mapping level candidate for 49 CFR 601.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart A > 49 CFR 601.3. Source: https://www.ecfr.gov/current/title-49/section-601.3,true,
t49_sec_601_4,fta_transit,title49.transit.safety_reference,1,Responsibilities of the Administrator.,49 CFR 601.4,Mapping level candidate for 49 CFR 601.4. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart A > 49 CFR 601.4. Source: https://www.ecfr.gov/current/title-49/section-601.4,true,
t49_subpart_601_b,fta_transit,title49.transit.safety_reference,1,Public Availability of Information,49 CFR Part 601 Subpart B,Mapping level candidate for 49 CFR Part 601 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-601/subpart-B,true,
t49_sec_601_10,fta_transit,title49.transit.safety_reference,1,Sources of information.,49 CFR 601.10,Mapping level candidate for 49 CFR 601.10. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart B > 49 CFR 601.10. Source: https://www.ecfr.gov/current/title-49/section-601.10,true,
t49_subpart_601_c,fta_transit,title49.transit.safety_reference,1,Rulemaking Procedures,49 CFR Part 601 Subpart C,Mapping level candidate for 49 CFR Part 601 Subpart C. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C. Source: https://www.ecfr.gov/current/title-49/part-601/subpart-C,true,
t49_sec_601_20,fta_transit,title49.transit.safety_reference,1,Applicability.,49 CFR 601.20,Mapping level candidate for 49 CFR 601.20. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.20. Source: https://www.ecfr.gov/current/title-49/section-601.20,true,
t49_sec_601_21,fta_transit,title49.transit.safety_reference,1,Sec. 601.21 [Reserved],49 CFR 601.21,Mapping level candidate for 49 CFR 601.21. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.21. Source: https://www.ecfr.gov/current/title-49/section-601.21,false,
t49_sec_601_22,fta_transit,title49.transit.safety_reference,1,General.,49 CFR 601.22,Mapping level candidate for 49 CFR 601.22. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.22. Source: https://www.ecfr.gov/current/title-49/section-601.22,true,
t49_sec_601_23,fta_transit,title49.transit.safety_reference,1,Initiation of rulemaking.,49 CFR 601.23,Mapping level candidate for 49 CFR 601.23. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.23. Source: https://www.ecfr.gov/current/title-49/section-601.23,true,
t49_sec_601_24,fta_transit,title49.transit.safety_reference,1,Contents of notices of proposed rulemaking.,49 CFR 601.24,Mapping level candidate for 49 CFR 601.24. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.24. Source: https://www.ecfr.gov/current/title-49/section-601.24,true,
t49_sec_601_25,fta_transit,title49.transit.safety_reference,1,Participation by interested persons.,49 CFR 601.25,Mapping level candidate for 49 CFR 601.25. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.25. Source: https://www.ecfr.gov/current/title-49/section-601.25,true,
t49_sec_601_26,fta_transit,title49.transit.safety_reference,1,Petitions for extension of time to comment.,49 CFR 601.26,Mapping level candidate for 49 CFR 601.26. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.26. Source: https://www.ecfr.gov/current/title-49/section-601.26,true,
t49_sec_601_27,fta_transit,title49.transit.safety_reference,1,Contents of written comments.,49 CFR 601.27,Mapping level candidate for 49 CFR 601.27. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.27. Source: https://www.ecfr.gov/current/title-49/section-601.27,true,
t49_sec_601_28,fta_transit,title49.transit.safety_reference,1,Sec. 601.28 [Reserved],49 CFR 601.28,Mapping level candidate for 49 CFR 601.28. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.28. Source: https://www.ecfr.gov/current/title-49/section-601.28,false,
t49_sec_601_29,fta_transit,title49.transit.safety_reference,1,Additional rulemaking proceedings.,49 CFR 601.29,Mapping level candidate for 49 CFR 601.29. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.29. Source: https://www.ecfr.gov/current/title-49/section-601.29,true,
t49_sec_601_30,fta_transit,title49.transit.safety_reference,1,Hearings.,49 CFR 601.30,Mapping level candidate for 49 CFR 601.30. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.30. Source: https://www.ecfr.gov/current/title-49/section-601.30,true,
t49_sec_601_31,fta_transit,title49.transit.safety_reference,1,Sec. 601.31 [Reserved],49 CFR 601.31,Mapping level candidate for 49 CFR 601.31. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter VI > 49 CFR Part 601 > 49 CFR Part 601 Subpart C > 49 CFR 601.31. Source: https://www.ecfr.gov/current/title-49/section-601.31,false,
