mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_transportation_citation_metadata_t49_title,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_title,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Title 49,Maps 49 CFR Title 49 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_subtitle_a,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_subtitle_a,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Subtitle A,Maps 49 CFR Subtitle A to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_part_1,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_part_1,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Part 1,Maps 49 CFR Part 1 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_subpart_1_a,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_subpart_1_a,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Part 1 Subpart A,Maps 49 CFR Part 1 Subpart A to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_1,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_1,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.1,Maps 49 CFR 1.1 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_2,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_2,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.2,Maps 49 CFR 1.2 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_3,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_3,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.3,Maps 49 CFR 1.3 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_4,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_4,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.4,Maps 49 CFR 1.4 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_subpart_1_b,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_subpart_1_b,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Part 1 Subpart B,Maps 49 CFR Part 1 Subpart B to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_11,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_11,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.11,Maps 49 CFR 1.11 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_13,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_13,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.13,Maps 49 CFR 1.13 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_15,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_15,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.15,Maps 49 CFR 1.15 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_17,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_17,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.17,Maps 49 CFR 1.17 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_20,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_20,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.20,Maps 49 CFR 1.20 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_21,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_21,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.21,Maps 49 CFR 1.21 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_22,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_22,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.22,Maps 49 CFR 1.22 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_23,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_23,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.23,Maps 49 CFR 1.23 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_24,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_24,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.24,Maps 49 CFR 1.24 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_25,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_25,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.25,Maps 49 CFR 1.25 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_25a,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_25a,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.25a,Maps 49 CFR 1.25a to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_26,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_26,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.26,Maps 49 CFR 1.26 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_27,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_27,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.27,Maps 49 CFR 1.27 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_27a,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_27a,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.27a,Maps 49 CFR 1.27a to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_27b,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_27b,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.27b,Maps 49 CFR 1.27b to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_30,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_30,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.30,Maps 49 CFR 1.30 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_31,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_31,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.31,Maps 49 CFR 1.31 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_32,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_32,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.32,Maps 49 CFR 1.32 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_33,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_33,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.33,Maps 49 CFR 1.33 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_34,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_34,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.34,Maps 49 CFR 1.34 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_35,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_35,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.35,Maps 49 CFR 1.35 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_36,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_36,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.36,Maps 49 CFR 1.36 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_37,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_37,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.37,Maps 49 CFR 1.37 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_38,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_38,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.38,Maps 49 CFR 1.38 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_38a,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_38a,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.38a,Maps 49 CFR 1.38a to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_39,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_39,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.39,Maps 49 CFR 1.39 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_40,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_40,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.40,Maps 49 CFR 1.40 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_41,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_41,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.41,Maps 49 CFR 1.41 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_42,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_42,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.42,Maps 49 CFR 1.42 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_43,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_43,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.43,Maps 49 CFR 1.43 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_44,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_44,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.44,Maps 49 CFR 1.44 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_45,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_45,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.45,Maps 49 CFR 1.45 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_46,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_46,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.46,Maps 49 CFR 1.46 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_47,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_47,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.47,Maps 49 CFR 1.47 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_48,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_48,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.48,Maps 49 CFR 1.48 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_49,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_49,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.49,Maps 49 CFR 1.49 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_50,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_50,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.50,Maps 49 CFR 1.50 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_60,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_60,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.60,Maps 49 CFR 1.60 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_subpart_1_c,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_subpart_1_c,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Part 1 Subpart C,Maps 49 CFR Part 1 Subpart C to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_70,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_70,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.70,Maps 49 CFR 1.70 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_71,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_71,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.71,Maps 49 CFR 1.71 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_72,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_72,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.72,Maps 49 CFR 1.72 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_73,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_73,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.73,Maps 49 CFR 1.73 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_74,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_74,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.74,Maps 49 CFR 1.74 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_subpart_1_d,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_subpart_1_d,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR Part 1 Subpart D,Maps 49 CFR Part 1 Subpart D to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_80,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_80,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.80,Maps 49 CFR 1.80 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_81,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_81,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.81,Maps 49 CFR 1.81 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_81a,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_81a,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.81a,Maps 49 CFR 1.81a to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_82,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_82,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.82,Maps 49 CFR 1.82 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_83,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_83,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.83,Maps 49 CFR 1.83 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_84,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_84,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.84,Maps 49 CFR 1.84 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_85,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_85,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.85,Maps 49 CFR 1.85 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_86,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_86,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.86,Maps 49 CFR 1.86 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_87,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_87,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.87,Maps 49 CFR 1.87 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_88,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_88,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.88,Maps 49 CFR 1.88 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_89,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_89,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.89,Maps 49 CFR 1.89 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_90,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_90,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.90,Maps 49 CFR 1.90 to title49.transportation.citation_metadata (metadata).,true
map_title49_transportation_citation_metadata_t49_sec_1_91,compliance_key,dot_title49_metadata,title49.transportation.citation_metadata,1,t49_sec_1_91,ck_t49_transportation_citation_metadata,,,Title 49 Citation Metadata to 49 CFR 1.91,Maps 49 CFR 1.91 to title49.transportation.citation_metadata (metadata).,true
