citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_title,dot_title49_metadata,title49.transportation.citation_metadata,1,Transportation,49 CFR Title 49,Mapping level candidate for 49 CFR Title 49. Hierarchy: 49 CFR Title 49. Source: https://www.ecfr.gov/current/title-49,true,
t49_subtitle_a,dot_title49_metadata,title49.transportation.citation_metadata,1,Office of the Secretary of Transportation,49 CFR Subtitle A,Mapping level candidate for 49 CFR Subtitle A. Hierarchy: 49 CFR Subtitle A. Source: https://www.ecfr.gov/current/title-49,true,
t49_part_1,dot_title49_metadata,title49.transportation.citation_metadata,1,Organization and Delegation of Powers and Duties,49 CFR Part 1,Mapping level candidate for 49 CFR Part 1. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1. Source: https://www.ecfr.gov/current/title-49/part-1,true,
t49_subpart_1_a,dot_title49_metadata,title49.transportation.citation_metadata,1,General,49 CFR Part 1 Subpart A,Mapping level candidate for 49 CFR Part 1 Subpart A. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-1/subpart-A,true,
t49_sec_1_1,dot_title49_metadata,title49.transportation.citation_metadata,1,Overview.,49 CFR 1.1,Mapping level candidate for 49 CFR 1.1. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart A > 49 CFR 1.1. Source: https://www.ecfr.gov/current/title-49/section-1.1,true,
t49_sec_1_2,dot_title49_metadata,title49.transportation.citation_metadata,1,Organization of the Department.,49 CFR 1.2,Mapping level candidate for 49 CFR 1.2. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart A > 49 CFR 1.2. Source: https://www.ecfr.gov/current/title-49/section-1.2,true,
t49_sec_1_3,dot_title49_metadata,title49.transportation.citation_metadata,1,Exercise of authority.,49 CFR 1.3,Mapping level candidate for 49 CFR 1.3. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart A > 49 CFR 1.3. Source: https://www.ecfr.gov/current/title-49/section-1.3,true,
t49_sec_1_4,dot_title49_metadata,title49.transportation.citation_metadata,1,Construction.,49 CFR 1.4,Mapping level candidate for 49 CFR 1.4. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart A > 49 CFR 1.4. Source: https://www.ecfr.gov/current/title-49/section-1.4,true,
t49_subpart_1_b,dot_title49_metadata,title49.transportation.citation_metadata,1,Office of the Secretary,49 CFR Part 1 Subpart B,Mapping level candidate for 49 CFR Part 1 Subpart B. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-1/subpart-B,true,
t49_sec_1_11,dot_title49_metadata,title49.transportation.citation_metadata,1,Overview.,49 CFR 1.11,Mapping level candidate for 49 CFR 1.11. Hierarchy: 49 CFR Subtitle A > 49 CFR Part 1 > 49 CFR Part 1 Subpart B > 49 CFR 1.11. Source: https://www.ecfr.gov/current/title-49/section-1.11,true,
