mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_tsa_transportation_security_reference_t49_part_1500,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_part_1500,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR Part 1500,Maps 49 CFR Part 1500 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_sec_1500_1,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_sec_1500_1,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR 1500.1,Maps 49 CFR 1500.1 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_sec_1500_3,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_sec_1500_3,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR 1500.3,Maps 49 CFR 1500.3 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_sec_1500_5,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_sec_1500_5,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR 1500.5,Maps 49 CFR 1500.5 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_part_1502,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_part_1502,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR Part 1502,Maps 49 CFR Part 1502 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_sec_1502_1,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_sec_1502_1,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR 1502.1,Maps 49 CFR 1502.1 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_part_1503,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_part_1503,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR Part 1503,Maps 49 CFR Part 1503 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_s_78550670,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_subpart_1503_a,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR Part 1503 Subpart A,Maps 49 CFR Part 1503 Subpart A to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_sec_1503_1,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_sec_1503_1,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR 1503.1,Maps 49 CFR 1503.1 to title49.tsa.transportation_security_reference (reference).,true
map_title49_tsa_transportation_security_reference_t49_sec_1503_3,compliance_key,tsa_security,title49.tsa.transportation_security_reference,1,t49_sec_1503_3,ck_t49_tsa_transportation_security_reference,,,Title 49 TSA Transportation Security Reference to 49 CFR 1503.3,Maps 49 CFR 1503.3 to title49.tsa.transportation_security_reference (reference).,true
