citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_1500,tsa_security,title49.tsa.transportation_security_reference,1,"Applicability, Terms, and Abbreviations",49 CFR Part 1500,Mapping level candidate for 49 CFR Part 1500. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1500. Source: https://www.ecfr.gov/current/title-49/part-1500,true,
t49_sec_1500_1,tsa_security,title49.tsa.transportation_security_reference,1,Applicability.,49 CFR 1500.1,Mapping level candidate for 49 CFR 1500.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1500 > 49 CFR 1500.1. Source: https://www.ecfr.gov/current/title-49/section-1500.1,true,
t49_sec_1500_3,tsa_security,title49.tsa.transportation_security_reference,1,Terms and abbreviations used in this chapter.,49 CFR 1500.3,Mapping level candidate for 49 CFR 1500.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1500 > 49 CFR 1500.3. Source: https://www.ecfr.gov/current/title-49/section-1500.3,true,
t49_sec_1500_5,tsa_security,title49.tsa.transportation_security_reference,1,Rules of construction.,49 CFR 1500.5,Mapping level candidate for 49 CFR 1500.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1500 > 49 CFR 1500.5. Source: https://www.ecfr.gov/current/title-49/section-1500.5,true,
t49_part_1502,tsa_security,title49.tsa.transportation_security_reference,1,"Organization, Functions, and Procedures",49 CFR Part 1502,Mapping level candidate for 49 CFR Part 1502. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1502. Source: https://www.ecfr.gov/current/title-49/part-1502,true,
t49_sec_1502_1,tsa_security,title49.tsa.transportation_security_reference,1,Responsibilities of the Administrator.,49 CFR 1502.1,Mapping level candidate for 49 CFR 1502.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1502 > 49 CFR 1502.1. Source: https://www.ecfr.gov/current/title-49/section-1502.1,true,
t49_part_1503,tsa_security,title49.tsa.transportation_security_reference,1,Investigative and Enforcement Procedures,49 CFR Part 1503,Mapping level candidate for 49 CFR Part 1503. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1503. Source: https://www.ecfr.gov/current/title-49/part-1503,true,
t49_subpart_1503_a,tsa_security,title49.tsa.transportation_security_reference,1,General,49 CFR Part 1503 Subpart A,Mapping level candidate for 49 CFR Part 1503 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1503 > 49 CFR Part 1503 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-1503/subpart-A,true,
t49_sec_1503_1,tsa_security,title49.tsa.transportation_security_reference,1,Scope.,49 CFR 1503.1,Mapping level candidate for 49 CFR 1503.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1503 > 49 CFR Part 1503 Subpart A > 49 CFR 1503.1. Source: https://www.ecfr.gov/current/title-49/section-1503.1,true,
t49_sec_1503_3,tsa_security,title49.tsa.transportation_security_reference,1,"Reports by the public of security problems, deficiencies, and vulnerabilities.",49 CFR 1503.3,Mapping level candidate for 49 CFR 1503.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter XII > 49 CFR Subchapter A > 49 CFR Part 1503 > 49 CFR Part 1503 Subpart A > 49 CFR 1503.3. Source: https://www.ecfr.gov/current/title-49/section-1503.3,true,
