mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_vehicle_cargo_securement_t49_subpart_393_i,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_subpart_393_i,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR Part 393 Subpart I,Maps 49 CFR Part 393 Subpart I to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_100,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_100,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.100,Maps 49 CFR 393.100 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_102,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_102,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.102,Maps 49 CFR 393.102 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_104,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_104,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.104,Maps 49 CFR 393.104 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_106,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_106,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.106,Maps 49 CFR 393.106 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_108,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_108,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.108,Maps 49 CFR 393.108 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_110,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_110,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.110,Maps 49 CFR 393.110 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_112,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_112,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.112,Maps 49 CFR 393.112 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_114,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_114,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.114,Maps 49 CFR 393.114 to title49.vehicle.cargo_securement (operational).,true
map_title49_vehicle_cargo_securement_t49_sec_393_116,compliance_key,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,t49_sec_393_116,ck_t49_vehicle_cargo_securement,,,Title 49 Cargo Securement to 49 CFR 393.116,Maps 49 CFR 393.116 to title49.vehicle.cargo_securement (operational).,true
