citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_subpart_393_i,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Protection Against Shifting and Falling Cargo,49 CFR Part 393 Subpart I,Mapping level candidate for 49 CFR Part 393 Subpart I. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I. Source: https://www.ecfr.gov/current/title-49/part-393/subpart-I,true,
t49_sec_393_100,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Applicability and general requirements of cargo securement standards.,49 CFR 393.100,Mapping level candidate for 49 CFR 393.100. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.100. Source: https://www.ecfr.gov/current/title-49/section-393.100,true,
t49_sec_393_102,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Minimum performance criteria for cargo securement devices and systems.,49 CFR 393.102,Mapping level candidate for 49 CFR 393.102. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.102. Source: https://www.ecfr.gov/current/title-49/section-393.102,true,
t49_sec_393_104,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Standards for cargo securement devices and systems.,49 CFR 393.104,Mapping level candidate for 49 CFR 393.104. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.104. Source: https://www.ecfr.gov/current/title-49/section-393.104,true,
t49_sec_393_106,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,General requirements for securing articles of cargo.,49 CFR 393.106,Mapping level candidate for 49 CFR 393.106. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.106. Source: https://www.ecfr.gov/current/title-49/section-393.106,true,
t49_sec_393_108,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Determining the working load limit of a tiedown or the load restraining value of a friction mat.,49 CFR 393.108,Mapping level candidate for 49 CFR 393.108. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.108. Source: https://www.ecfr.gov/current/title-49/section-393.108,true,
t49_sec_393_110,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Additional requirements for determining the minimum number of tiedowns.,49 CFR 393.110,Mapping level candidate for 49 CFR 393.110. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.110. Source: https://www.ecfr.gov/current/title-49/section-393.110,true,
t49_sec_393_112,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Adjustability of tiedowns.,49 CFR 393.112,Mapping level candidate for 49 CFR 393.112. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.112. Source: https://www.ecfr.gov/current/title-49/section-393.112,true,
t49_sec_393_114,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Requirements for front end structures used as part of a cargo securement system.,49 CFR 393.114,Mapping level candidate for 49 CFR 393.114. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.114. Source: https://www.ecfr.gov/current/title-49/section-393.114,true,
t49_sec_393_116,fmcsa_fmcsr,title49.vehicle.cargo_securement,1,Specific securement requirements for logs.,49 CFR 393.116,Mapping level candidate for 49 CFR 393.116. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart I > 49 CFR 393.116. Source: https://www.ecfr.gov/current/title-49/section-393.116,true,
