mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_vehicle_inspection_repair_maintenance_t49_part_396,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_part_396,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR Part 396",Maps 49 CFR Part 396 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_title49_vehicle_inspection_repair_maintenance_t49_sec_396_1,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_1,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR 396.1",Maps 49 CFR 396.1 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_title49_vehicle_inspection_repair_maintenance_t49_sec_396_3,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_3,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR 396.3",Maps 49 CFR 396.3 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_title49_vehicle_inspection_repair_maintenance_t49_sec_396_5,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_5,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR 396.5",Maps 49 CFR 396.5 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_title49_vehicle_inspection_repair_maintenance_t49_sec_396_13,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_13,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR 396.13",Maps 49 CFR 396.13 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_title49_vehicle_inspection_repair_maintenance_t49_sec_396_15,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_15,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR 396.15",Maps 49 CFR 396.15 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_title49_vehicle_inspection_repair_maintenance_t49_a_a346916c,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_app_part_396_a,ck_t49_vehicle_inspection_repair_maintenance,,,"Title 49 Inspection, Repair, and Maintenance to 49 CFR Appendix A to Part 396",Maps 49 CFR Appendix A to Part 396 to title49.vehicle.inspection_repair_maintenance (operational).,true
map_fact_title49_vehicle_inspection_repair_maintenance_71c7fc20,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_3,ck_t49_vehicle_inspection_repair_maintenance,,t49_vehicle_maintenance_program_current,"Title 49 Inspection, Repair, and Maintenance fact Maintenance program current","Inspection, repair, and maintenance program evidence is current. products=MaintainArr; entities=vehicle,maintenance_program; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_vehicle_inspection_repair_maintenance_dd8b216f,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_sec_396_13,ck_t49_vehicle_inspection_repair_maintenance,,t49_vehicle_pretrip_completed,"Title 49 Inspection, Repair, and Maintenance fact Pretrip completed","Driver pretrip/driver inspection evidence is complete before dispatch. products=MaintainArr,RoutArr; entities=vehicle,inspection; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
map_fact_title49_vehicle_inspection_repair_maintenance_7b46123e,compliance_key,fmcsa_fmcsr,title49.vehicle.inspection_repair_maintenance,1,t49_part_396,ck_t49_vehicle_inspection_repair_maintenance,,t49_vehicle_repairs_closed,"Title 49 Inspection, Repair, and Maintenance fact Required repairs closed","Known safety defects are repaired before the vehicle is dispatched. products=MaintainArr; entities=vehicle,work_order; value_type=boolean; operator=equals; expected_value=true; evidence_kind=product_record; required_document_type=none; retention_period=per_citation_or_company_policy; failure_severity=critical; automatic_failure=true; override_allowed=false.",true
