mapping_key,target_kind,program_key,pack_key,pack_version,citation_key,compliance_key,material_key,fact_key,label,description,active
map_title49_vehicle_parts_accessories_condition_t49_part_393,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_part_393,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR Part 393,Maps 49 CFR Part 393 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sub_5f51e1a0,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_subpart_393_a,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR Part 393 Subpart A,Maps 49 CFR Part 393 Subpart A to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_1,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_1,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.1,Maps 49 CFR 393.1 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_3,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_3,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.3,Maps 49 CFR 393.3 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_5,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_5,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.5,Maps 49 CFR 393.5 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_7,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_7,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.7,Maps 49 CFR 393.7 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sub_52a5199d,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_subpart_393_b,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR Part 393 Subpart B,Maps 49 CFR Part 393 Subpart B to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_9,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_9,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.9,Maps 49 CFR 393.9 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_11,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_11,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.11,Maps 49 CFR 393.11 to title49.vehicle.parts_accessories_condition (operational).,true
map_title49_vehicle_parts_accessories_condition_t49_sec_393_13,compliance_key,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,t49_sec_393_13,ck_t49_vehicle_parts_accessories_condition,,,Title 49 Vehicle Parts and Accessories Condition to 49 CFR 393.13,Maps 49 CFR 393.13 to title49.vehicle.parts_accessories_condition (operational).,true
