citation_key,program_key,pack_key,pack_version,label,source_reference,description,active,supersedes_citation_key
t49_part_393,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Parts and Accessories Necessary for Safe Operation,49 CFR Part 393,Mapping level candidate for 49 CFR Part 393. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393. Source: https://www.ecfr.gov/current/title-49/part-393,true,
t49_subpart_393_a,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,General,49 CFR Part 393 Subpart A,Mapping level candidate for 49 CFR Part 393 Subpart A. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart A. Source: https://www.ecfr.gov/current/title-49/part-393/subpart-A,true,
t49_sec_393_1,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Scope of the rules in this part.,49 CFR 393.1,Mapping level candidate for 49 CFR 393.1. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart A > 49 CFR 393.1. Source: https://www.ecfr.gov/current/title-49/section-393.1,true,
t49_sec_393_3,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Additional equipment and accessories.,49 CFR 393.3,Mapping level candidate for 49 CFR 393.3. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart A > 49 CFR 393.3. Source: https://www.ecfr.gov/current/title-49/section-393.3,true,
t49_sec_393_5,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Definitions.,49 CFR 393.5,Mapping level candidate for 49 CFR 393.5. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart A > 49 CFR 393.5. Source: https://www.ecfr.gov/current/title-49/section-393.5,true,
t49_sec_393_7,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Matter incorporated by reference.,49 CFR 393.7,Mapping level candidate for 49 CFR 393.7. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart A > 49 CFR 393.7. Source: https://www.ecfr.gov/current/title-49/section-393.7,true,
t49_subpart_393_b,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,"Lamps, Reflective Devices, and Electrical Wiring",49 CFR Part 393 Subpart B,Mapping level candidate for 49 CFR Part 393 Subpart B. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B. Source: https://www.ecfr.gov/current/title-49/part-393/subpart-B,true,
t49_sec_393_9,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,"Lamps operable, prohibition of obstructions of lamps and reflectors.",49 CFR 393.9,Mapping level candidate for 49 CFR 393.9. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.9. Source: https://www.ecfr.gov/current/title-49/section-393.9,true,
t49_sec_393_11,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Lamps and reflective devices.,49 CFR 393.11,Mapping level candidate for 49 CFR 393.11. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.11. Source: https://www.ecfr.gov/current/title-49/section-393.11,true,
t49_sec_393_13,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,"Retroreflective sheeting and reflex reflectors, requirements for semitrailers and trailers manufactured before December 1, 1993.",49 CFR 393.13,Mapping level candidate for 49 CFR 393.13. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.13. Source: https://www.ecfr.gov/current/title-49/section-393.13,true,
t49_sec_393_17,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Lamps and reflectors-combinations in driveaway-towaway operation.,49 CFR 393.17,Mapping level candidate for 49 CFR 393.17. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.17. Source: https://www.ecfr.gov/current/title-49/section-393.17,true,
t49_sec_393_19,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Hazard warning signals.,49 CFR 393.19,Mapping level candidate for 49 CFR 393.19. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.19. Source: https://www.ecfr.gov/current/title-49/section-393.19,true,
t49_sec_393_20,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Sec. 393.20 [Reserved],49 CFR 393.20,Mapping level candidate for 49 CFR 393.20. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.20. Source: https://www.ecfr.gov/current/title-49/section-393.20,false,
t49_sec_393_22,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Combination of lighting devices and reflectors.,49 CFR 393.22,Mapping level candidate for 49 CFR 393.22. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.22. Source: https://www.ecfr.gov/current/title-49/section-393.22,true,
t49_sec_393_23,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Power supply for lamps.,49 CFR 393.23,Mapping level candidate for 49 CFR 393.23. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.23. Source: https://www.ecfr.gov/current/title-49/section-393.23,true,
t49_sec_393_24,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,"Requirements for head lamps, auxiliary driving lamps and front fog lamps.",49 CFR 393.24,Mapping level candidate for 49 CFR 393.24. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.24. Source: https://www.ecfr.gov/current/title-49/section-393.24,true,
t49_sec_393_25,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Requirements for lamps other than head lamps.,49 CFR 393.25,Mapping level candidate for 49 CFR 393.25. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.25. Source: https://www.ecfr.gov/current/title-49/section-393.25,true,
t49_sec_393_26,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Requirements for reflectors.,49 CFR 393.26,Mapping level candidate for 49 CFR 393.26. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.26. Source: https://www.ecfr.gov/current/title-49/section-393.26,true,
t49_sec_393_27,fmcsa_fmcsr,title49.vehicle.parts_accessories_condition,1,Sec. 393.27 [Reserved],49 CFR 393.27,Mapping level candidate for 49 CFR 393.27. Hierarchy: 49 CFR Subtitle B > 49 CFR Chapter III > 49 CFR Subchapter B > 49 CFR Part 393 > 49 CFR Part 393 Subpart B > 49 CFR 393.27. Source: https://www.ecfr.gov/current/title-49/section-393.27,false,
